@relation 'train_RF.arff-weka.filters.unsupervised.attribute.Remove-R1-3,11-12,25-28,33-35,37-weka.filters.unsupervised.attribute.AddExpression-Ea12-a1-Ndiff1_x-weka.filters.unsupervised.attribute.AddExpression-Ea14-a1-Ndiff2_x-weka.filters.unsupervised.attribute.AddExpression-Ea16-a1-Ndiff3_x-weka.filters.unsupervised.attribute.AddExpression-Ea18-a1-Ndiff4_x-weka.filters.unsupervised.attribute.AddExpression-Ea13-a2-Ndiff1_y-weka.filters.unsupervised.attribute.AddExpression-Ea15-a2-Ndiff2_y-weka.filters.unsupervised.attribute.AddExpression-Ea17-a2-Ndiff3_y-weka.filters.unsupervised.attribute.AddExpression-Ea19-a2-Ndiff4_y-weka.filters.unsupervised.attribute.Remove-R12-23-weka.filters.unsupervised.attribute.Reorder-Rfirst-11,13-last,12'

@attribute pacman_pos_x numeric
@attribute pacman_pos_y numeric
@attribute legal_North {False,True}
@attribute legal_South {False,True}
@attribute legal_East {False,True}
@attribute legal_West {False,True}
@attribute legal_Stop {False,True}
@attribute ghost1_alive {False,True}
@attribute ghost2_alive {False,True}
@attribute ghost3_alive {False,True}
@attribute ghost4_alive {False,True}
@attribute diff1_x numeric
@attribute diff2_x numeric
@attribute diff3_x numeric
@attribute diff4_x numeric
@attribute diff1_y numeric
@attribute diff2_y numeric
@attribute diff3_y numeric
@attribute diff4_y numeric
@attribute pacman_action {East,North,South,Stop,West,None}

@data
14,1,False,False,True,True,True,True,True,True,True,-3,-1,-1,3,12,13,12,12,West
13,1,False,False,True,True,True,True,True,True,True,-1,0,0,4,12,13,12,12,West
12,1,True,False,True,True,True,True,True,True,True,0,1,1,5,12,13,12,12,North
12,2,True,True,False,False,True,True,True,True,True,1,1,2,4,11,12,11,11,North
12,3,False,True,False,True,True,True,True,True,True,2,2,2,4,10,11,10,10,West
11,3,False,False,True,True,True,True,True,True,True,2,3,3,5,10,12,11,10,West
10,3,False,False,True,True,True,True,True,True,True,3,4,3,7,11,11,11,10,West
9,3,True,False,True,False,True,True,True,True,True,5,4,4,8,11,11,12,10,North
9,4,True,True,False,False,True,True,True,True,True,5,5,4,8,10,10,10,9,North
9,5,True,True,False,False,True,True,True,True,True,5,5,4,7,10,9,10,8,North
9,6,False,True,True,True,True,True,True,True,True,4,5,4,7,9,9,8,7,East
10,6,False,False,True,True,True,True,True,True,True,3,5,3,5,9,9,9,7,East
11,6,False,False,True,True,True,True,True,True,True,3,5,2,3,9,9,8,7,East
12,6,True,False,True,True,True,True,True,True,True,3,5,1,3,9,9,7,7,North
12,7,True,True,False,False,True,True,True,True,True,3,5,0,3,9,8,6,6,North
12,8,True,True,False,False,True,True,True,True,True,3,4,-1,2,8,7,5,5,North
12,9,False,True,False,True,True,True,True,True,True,3,4,0,2,7,6,4,4,West
11,9,False,False,True,True,True,True,True,True,True,4,5,2,3,8,6,4,5,West
10,9,False,False,True,True,True,True,True,True,True,5,5,3,4,9,6,4,6,West
9,9,False,False,True,True,True,True,True,True,True,7,7,4,5,9,6,5,6,West
8,9,True,False,True,True,True,True,True,True,True,9,7,5,6,9,6,5,5,North
8,10,True,True,False,False,True,True,True,True,True,8,8,6,6,8,5,4,4,North
8,11,True,True,True,False,True,True,True,True,True,8,7,6,6,7,4,3,4,North
8,12,True,True,False,False,True,True,True,True,True,9,8,6,7,6,3,1,3,North
8,13,True,True,False,True,True,True,True,True,True,8,8,7,7,5,2,0,3,North
8,14,True,True,False,False,True,True,True,True,True,8,8,6,7,4,1,-1,2,North
8,15,False,True,True,False,True,True,True,True,True,9,9,6,7,3,0,-2,1,East
9,15,False,False,True,True,True,True,True,True,True,8,7,5,6,3,0,-1,2,East
10,15,False,False,True,True,True,True,True,True,True,7,6,4,5,3,0,-1,2,East
11,15,False,False,True,True,True,True,True,True,True,6,6,3,4,3,0,-2,2,East
12,15,True,False,True,True,True,True,True,True,True,4,4,3,3,3,0,-2,3,East
13,15,False,True,True,True,True,True,True,True,True,2,3,2,2,3,0,-2,3,East
14,15,False,True,True,True,True,True,True,True,True,1,1,2,1,2,0,-2,2,East
15,15,True,False,True,True,True,True,False,True,True,0,-13,0,0,2,-14,-2,2,East
16,15,False,False,True,True,True,True,False,True,True,-1,-15,-2,-1,3,-14,-2,1,East
17,15,False,False,True,True,True,True,False,True,True,-2,-16,-3,-2,3,-14,-1,0,West
16,15,False,False,True,True,True,True,False,True,True,0,-15,-2,-1,3,-13,-1,1,West
15,15,True,False,True,True,True,True,False,True,True,2,-14,-1,0,3,-12,-2,2,North
15,16,True,True,False,False,True,True,False,True,False,2,-14,-1,-8,2,-13,-3,-15,North
15,17,True,True,False,False,True,True,False,True,False,3,-14,-2,-8,1,-14,-4,-16,North
15,18,False,True,True,False,True,True,False,True,False,3,-14,-2,-9,1,-15,-5,-17,East
16,18,False,False,True,True,True,True,False,True,False,2,-15,-4,-9,0,-16,-5,-17,East
17,18,False,False,True,True,True,False,False,True,False,-16,-16,-4,-11,-17,-15,-5,-17,East
18,18,True,False,False,True,True,False,False,True,False,-17,-16,-5,-13,-17,-15,-4,-17,North
18,19,True,True,False,False,True,False,False,True,False,-17,-15,-5,-14,-18,-16,-4,-18,North
18,20,True,True,False,False,True,False,False,True,False,-16,-15,-5,-13,-19,-16,-6,-19,North
18,21,False,True,True,True,True,False,False,True,False,-17,-15,-5,-14,-20,-18,-8,-20,South
18,20,True,True,False,False,True,False,False,True,False,-16,-15,-6,-13,-19,-17,-7,-19,South
18,19,True,True,False,False,True,False,False,True,False,-16,-16,-7,-12,-18,-16,-6,-18,South
18,18,True,False,False,True,True,False,False,True,False,-15,-17,-6,-11,-17,-15,-5,-17,West
17,18,False,False,True,True,True,False,False,True,False,-15,-16,-4,-9,-17,-15,-5,-17,West
16,18,False,False,True,True,True,False,False,True,False,-13,-15,-2,-7,-17,-15,-5,-17,West
15,18,False,True,True,False,True,False,False,True,False,-12,-14,-2,-5,-17,-16,-5,-17,South
15,17,True,True,False,False,True,False,False,True,False,-13,-14,-2,-5,-16,-14,-4,-16,South
15,16,True,True,False,False,True,False,False,True,False,-13,-13,-2,-5,-15,-13,-2,-15,South
15,15,True,False,True,True,True,False,False,True,False,-12,-13,-2,-5,-14,-12,0,-14,Stop
15,15,True,False,True,True,True,False,False,True,False,-12,-14,-2,-5,-14,-12,0,-14,Stop
15,15,True,False,True,True,True,False,False,True,False,-13,-14,-1,-6,-14,-13,0,-14,Stop
13,12,True,True,True,True,True,True,True,True,True,-5,-5,7,7,5,7,5,7,Stop
13,12,True,True,True,True,True,True,True,True,True,-5,-5,7,7,5,6,5,7,Stop
13,12,True,True,True,True,True,True,True,True,True,-6,-4,6,7,5,6,5,7,Stop
13,12,True,True,True,True,True,True,True,True,True,-7,-3,5,7,5,6,5,6,Stop
13,12,True,True,True,True,True,True,True,True,True,-7,-3,5,7,5,6,6,6,Stop
13,12,True,True,True,True,True,True,True,True,True,-8,-4,4,7,5,6,6,6,Stop
13,12,True,True,True,True,True,True,True,True,True,-8,-4,4,7,6,6,7,7,West
12,12,True,True,True,True,True,True,True,True,True,-7,-3,4,8,5,7,7,6,West
11,12,True,False,True,True,True,True,True,True,True,-7,-1,4,10,5,7,7,6,West
10,12,True,False,True,True,True,True,True,True,True,-6,-1,5,11,5,7,6,5,West
9,12,True,False,True,True,True,True,True,True,True,-5,-1,7,11,5,7,6,5,West
8,12,True,False,True,True,True,True,True,True,True,-3,0,8,12,5,6,6,5,North
8,13,False,True,True,True,True,True,True,True,True,-3,0,8,11,3,4,6,4,Stop
8,13,False,True,True,True,True,True,True,True,True,-4,0,7,10,3,4,6,4,West
7,13,False,True,True,True,True,True,True,True,True,-4,1,8,12,3,4,5,4,West
6,13,True,True,True,True,True,True,True,True,True,-4,1,8,12,3,4,5,4,North
6,14,True,True,False,True,True,True,True,True,True,-5,1,9,13,2,4,4,3,North
6,15,False,True,True,True,True,True,True,True,True,-5,1,9,14,1,4,3,2,Stop
6,15,False,True,True,True,True,True,True,True,True,-5,1,9,14,1,3,3,3,West
5,15,True,True,True,True,True,True,True,True,True,-4,2,9,15,0,3,3,3,West
4,15,True,True,True,True,True,True,True,True,True,-3,3,10,17,-1,2,3,3,West
3,15,True,True,True,True,True,True,True,True,True,-2,3,12,19,-2,2,3,3,West
2,15,True,True,True,True,True,True,True,True,True,-1,3,12,20,-2,2,3,4,West
1,15,True,True,True,False,True,True,True,True,True,0,5,14,21,-1,2,3,3,South
1,14,True,True,True,False,True,False,True,True,True,0,6,13,21,-13,3,4,5,South
1,13,True,True,True,False,True,False,True,True,True,0,6,13,21,-12,5,5,6,South
1,12,True,True,True,False,True,False,True,True,True,0,6,13,21,-11,7,6,7,North
1,13,True,True,True,False,True,False,True,True,True,0,7,14,22,-12,6,5,6,North
1,14,True,True,True,False,True,False,True,True,True,0,8,14,23,-13,5,4,5,North
1,15,True,True,True,False,True,False,True,True,True,0,8,13,23,-14,3,3,5,North
1,16,True,True,True,False,True,False,True,True,True,0,9,14,23,-15,2,2,4,North
1,17,True,True,True,False,True,False,True,True,True,0,8,13,23,-16,1,1,2,North
1,18,True,True,True,False,True,False,True,True,True,0,9,14,24,-17,0,0,1,East
2,18,True,True,True,True,True,False,True,True,True,-1,8,13,23,-17,-1,-1,0,East
3,18,True,True,True,True,True,False,True,True,True,-2,6,12,22,-17,-1,0,-1,East
4,18,True,True,True,True,True,False,True,True,True,-3,4,11,21,-17,-1,-1,0,East
5,18,True,True,True,True,True,False,True,True,True,-4,3,10,21,-17,0,-1,0,East
6,18,True,True,True,True,True,False,True,True,True,-5,2,9,20,-17,1,0,1,East
7,18,True,True,True,True,True,False,True,True,True,-6,2,8,18,-17,1,-1,1,East
8,18,True,True,True,True,True,False,True,True,True,-7,2,7,17,-17,1,0,1,East
9,18,True,True,True,True,True,False,True,True,True,-8,2,6,16,-17,1,-1,2,East
10,18,True,True,True,True,True,False,True,True,True,-9,1,6,15,-17,0,-1,3,East
11,18,True,True,True,True,True,False,False,True,True,-10,-8,6,14,-17,-17,-1,4,East
12,18,True,True,True,True,True,False,False,True,True,-11,-9,5,12,-17,-17,0,4,East
13,18,False,False,True,True,True,False,False,True,True,-12,-10,5,11,-17,-17,0,5,East
14,18,False,False,True,True,True,False,False,True,True,-13,-11,3,11,-17,-17,0,5,East
15,18,True,True,True,True,True,False,False,True,True,-14,-12,3,9,-17,-17,0,5,East
16,18,True,True,True,True,True,False,False,True,True,-15,-13,2,8,-17,-17,0,6,East
17,18,True,True,True,True,True,False,False,True,True,-16,-14,2,7,-17,-17,0,6,East
18,18,True,True,True,True,True,False,False,False,True,-17,-15,-13,6,-17,-17,-17,5,East
19,18,True,True,True,True,True,False,False,False,True,-18,-16,-14,5,-17,-17,-17,4,East
20,18,True,True,True,True,True,False,False,False,True,-19,-17,-15,4,-17,-17,-17,5,East
21,18,True,True,True,True,True,False,False,False,True,-20,-18,-16,4,-17,-17,-17,5,East
22,18,True,True,True,True,True,False,False,False,True,-21,-19,-17,3,-17,-17,-17,5,East
23,18,True,True,True,True,True,False,False,False,True,-22,-20,-18,1,-17,-17,-17,5,East
24,18,True,True,True,True,True,False,False,False,True,-23,-21,-19,1,-17,-17,-17,5,East
25,18,True,True,True,True,True,False,False,False,True,-24,-22,-20,0,-17,-17,-17,4,North
25,19,True,True,True,True,True,False,False,False,True,-24,-22,-20,0,-18,-18,-18,4,North
25,20,True,True,True,True,True,False,False,False,True,-24,-22,-20,0,-19,-19,-19,3,North
25,21,True,True,True,True,True,False,False,False,True,-24,-22,-20,0,-20,-20,-20,2,North
25,22,True,True,True,True,True,False,False,False,True,-24,-22,-20,0,-21,-21,-21,2,North
1,18,False,True,True,False,True,True,True,True,True,4,10,16,24,-9,-15,-12,-5,Stop
1,18,False,True,True,False,True,True,True,True,True,4,10,16,24,-9,-15,-12,-5,Stop
1,18,False,True,True,False,True,True,True,True,True,4,10,16,24,-9,-15,-12,-5,Stop
1,18,False,True,True,False,True,True,True,True,True,4,10,16,24,-9,-15,-12,-5,Stop
1,18,False,True,True,False,True,True,True,True,True,4,10,16,24,-9,-15,-12,-5,Stop
1,18,False,True,True,False,True,True,True,True,True,4,10,16,24,-9,-15,-12,-5,Stop
1,18,False,True,True,False,True,True,True,True,True,4,10,16,24,-9,-15,-12,-5,South
1,17,True,True,False,False,True,True,True,True,True,4,10,16,24,-8,-14,-11,-4,South
1,16,True,True,True,False,True,True,True,True,True,4,10,16,24,-7,-13,-10,-3,South
1,15,True,True,True,False,True,True,True,True,True,4,10,16,24,-6,-12,-9,-2,South
1,14,True,True,True,False,True,True,True,True,True,4,10,16,24,-5,-11,-8,-1,South
1,13,True,True,False,False,True,True,True,True,True,4,10,16,24,-4,-10,-7,0,South
1,12,True,True,True,False,True,True,True,True,True,4,10,16,24,-3,-9,-6,1,South
1,11,True,True,False,False,True,True,True,True,True,4,10,16,24,-2,-8,-5,2,South
1,10,True,True,False,False,True,True,True,True,True,4,10,16,24,-1,-7,-4,3,South
1,9,True,True,False,False,True,True,True,True,True,4,10,16,24,0,-6,-3,4,South
1,8,True,True,False,False,True,True,True,True,True,4,10,16,24,1,-5,-2,5,South
1,7,True,True,False,False,True,True,True,True,True,4,10,16,24,2,-4,-1,6,South
1,6,True,True,True,False,True,True,True,True,True,4,10,16,24,3,-3,0,7,East
2,6,False,True,True,True,True,True,True,True,True,3,9,15,23,3,-3,0,7,East
3,6,True,True,True,True,True,True,True,True,True,2,8,14,22,3,-3,0,7,East
4,6,True,True,True,True,True,True,True,True,True,1,7,13,21,3,-3,0,7,East
5,6,True,True,True,True,True,True,True,True,True,0,6,12,20,3,-3,0,7,North
5,7,True,True,True,True,True,True,True,True,True,0,6,12,20,2,-4,-1,6,North
5,8,True,True,True,True,True,True,True,True,True,0,6,12,20,1,-5,-2,5,North
5,9,True,True,True,True,True,False,True,True,True,-4,6,12,20,-8,-6,-3,4,South
5,8,True,True,True,True,True,False,True,True,True,-4,6,12,20,-7,-5,-2,5,South
5,7,True,True,True,True,True,False,True,True,True,-4,6,12,20,-6,-4,-1,6,East
6,7,True,True,False,True,True,False,True,True,True,-5,5,11,19,-6,-4,-1,6,Stop
6,7,True,True,False,True,True,False,True,True,True,-5,5,11,19,-6,-4,-1,6,Stop
6,7,True,True,False,True,True,False,True,True,True,-5,5,11,19,-6,-4,-1,6,South
6,6,True,False,True,True,True,False,True,True,True,-5,5,11,19,-5,-3,0,7,East
7,6,False,False,True,True,True,False,True,True,True,-6,4,10,18,-5,-3,0,7,East
8,6,True,True,True,True,True,False,True,True,True,-7,3,9,17,-5,-3,0,7,East
9,6,True,True,True,True,True,False,True,True,True,-8,2,8,16,-5,-3,0,7,East
10,6,True,True,True,True,True,False,True,True,True,-9,1,7,15,-5,-3,0,7,East
11,6,True,True,False,True,True,False,True,True,True,-10,0,6,14,-5,-3,0,7,South
11,5,True,True,False,True,True,False,True,True,True,-10,0,6,14,-4,-2,1,8,South
11,4,True,True,False,True,True,False,True,True,True,-10,0,6,14,-3,-1,2,9,South
