@relation 'training_tutorial1.arff-weka.filters.unsupervised.attribute.Remove-R1-12,17-28,36'

@attribute ghost1_alive {False,True}
@attribute ghost2_alive {False,True}
@attribute ghost3_alive {False,True}
@attribute ghost4_alive {False,True}
@attribute ghost1_dist numeric
@attribute ghost2_dist numeric
@attribute ghost3_dist numeric
@attribute ghost4_dist numeric
@attribute pacdots_remaining numeric
@attribute nearestpacdot_dist numeric
@attribute currentTickScore numeric
@attribute nextTickScore numeric

@data
True,True,False,True,18,12,-1,2,111,1,1185,1384
True,True,False,False,19,13,-1,-1,111,1,1384,1383
True,True,False,False,19,13,-1,-1,111,1,1383,1382
True,True,False,False,18,12,-1,-1,111,1,1382,1381
True,True,False,False,17,12,-1,-1,111,1,1381,1380
True,True,False,False,15,11,-1,-1,111,1,1380,1379
True,True,False,False,15,11,-1,-1,111,2,1379,1378
True,True,False,False,13,9,-1,-1,111,2,1378,1377
True,True,False,False,13,8,-1,-1,111,1,1377,1476
True,True,False,False,13,7,-1,-1,110,1,1476,1475
True,True,False,False,11,6,-1,-1,110,1,1475,1574
True,True,False,False,9,4,-1,-1,109,1,1574,1673
True,True,False,False,7,4,-1,-1,108,2,1673,1672
True,True,False,False,5,2,-1,-1,108,1,1672,1971
True,False,False,False,7,-1,-1,-1,107,1,1971,2070
True,False,False,False,7,-1,-1,-1,106,1,2070,2169
True,False,False,False,5,-1,-1,-1,105,1,2169,2168
True,False,False,False,5,-1,-1,-1,105,1,2168,2167
True,False,False,False,4,-1,-1,-1,105,1,2167,2266
True,False,False,False,4,-1,-1,-1,104,1,2266,2265
True,False,False,False,3,-1,-1,-1,104,1,2265,2364
True,False,False,False,3,-1,-1,-1,103,1,2364,2463
True,False,False,False,3,-1,-1,-1,102,1,2463,2562
True,False,False,False,3,-1,-1,-1,101,1,2562,2661
True,False,False,False,3,-1,-1,-1,100,1,2661,2660
True,False,False,False,2,-1,-1,-1,100,1,2660,2759
True,False,False,False,2,-1,-1,-1,99,1,2759,2858
True,False,False,False,2,-1,-1,-1,98,1,2858,2957
True,False,False,False,2,-1,-1,-1,97,1,2957,3056
True,False,False,False,2,-1,-1,-1,96,1,3056,3055
True,False,False,False,2,-1,-1,-1,96,2,3055,3054
True,False,False,False,2,-1,-1,-1,96,1,3054,3253
True,True,True,True,16,13,12,15,229,1,0,99
True,True,True,True,17,15,13,14,228,1,99,198
True,True,True,True,16,13,11,13,227,1,198,297
True,True,True,True,15,11,11,12,226,1,297,396
True,True,True,True,16,11,11,11,225,1,396,495
True,True,True,True,17,13,11,11,224,1,495,594
True,True,True,True,17,15,12,13,223,1,594,693
True,True,True,True,17,15,12,11,222,1,693,792
True,True,True,True,15,14,12,9,221,1,792,891
True,True,True,True,14,12,12,9,220,1,891,990
True,True,True,True,16,12,14,11,219,1,990,1089
True,True,True,True,17,13,15,12,218,1,1089,1188
True,True,True,True,17,14,15,13,217,1,1188,1287
True,True,True,True,17,14,14,13,216,1,1287,1386
True,True,True,True,16,12,14,13,215,1,1386,1485
True,True,True,True,15,10,13,13,214,1,1485,1584
True,True,True,True,14,10,11,13,213,1,1584,1683
True,True,True,True,13,8,10,11,212,1,1683,1682
True,True,True,True,11,8,8,11,212,2,1682,1681
True,True,True,True,9,8,7,10,212,2,1681,1680
True,True,True,True,8,8,7,8,212,2,1680,1679
True,True,True,True,6,7,7,6,212,2,1679,1678
True,True,True,True,6,7,5,5,212,2,1678,1677
True,True,True,True,8,6,7,6,212,2,1677,1676
True,True,True,True,6,6,5,5,212,3,1676,1675
True,True,True,True,4,6,4,4,212,3,1675,1674
True,True,True,True,4,6,3,4,212,3,1674,1673
True,True,True,True,2,6,3,2,212,3,1673,1672
True,True,True,True,4,5,3,2,212,4,1672,1871
True,True,True,False,2,7,3,-1,212,5,1871,1870
True,True,True,False,1,7,2,-1,212,5,1870,2069
False,True,True,False,-1,8,1,-1,212,4,2069,2268
False,True,False,False,-1,9,-1,-1,212,4,2268,2267
False,True,False,False,-1,7,-1,-1,212,4,2267,2266
False,True,False,False,-1,5,-1,-1,212,5,2266,2265
False,True,False,False,-1,5,-1,-1,212,5,2265,2264
False,True,False,False,-1,5,-1,-1,212,5,2264,2263
False,True,False,False,-1,5,-1,-1,212,4,2263,2262
False,True,False,False,24,3,-1,-1,212,3,2262,2261
False,True,False,False,-1,3,-1,-1,212,2,2261,2260
False,True,False,False,-1,1,-1,-1,212,1,2260,2459
True,True,True,True,11,9,5,3,1,7,0,-1
True,True,True,True,13,9,5,2,1,6,-1,-2
True,True,True,True,15,7,7,1,1,7,-2,197
True,True,True,False,15,5,9,-1,1,8,197,196
True,True,True,False,13,4,7,-1,1,9,196,195
True,True,True,False,13,2,9,-1,1,10,195,194
True,True,True,False,13,1,10,-1,1,11,194,393
True,False,True,False,13,-1,12,-1,1,12,393,392
True,False,True,False,13,-1,10,-1,1,11,392,391
True,False,True,False,14,-1,8,-1,1,10,391,390
True,False,True,False,16,-1,7,-1,1,9,390,389
True,False,True,False,16,-1,7,-1,1,8,389,388
True,False,True,False,14,-1,6,-1,1,7,388,387
True,False,True,False,14,-1,4,-1,1,6,387,386
True,False,True,False,14,-1,4,-1,1,7,386,385
True,False,True,False,14,-1,4,-1,1,6,385,384
True,False,True,False,13,-1,3,-1,1,7,384,383
True,False,True,False,11,-1,2,-1,1,8,383,382
True,False,True,False,9,-1,2,-1,1,9,382,581
True,False,False,False,8,-1,-1,-1,1,10,581,580
True,False,False,False,8,-1,-1,-1,1,11,580,579
True,False,False,False,8,-1,-1,-1,1,12,579,578
True,False,False,False,8,-1,-1,-1,1,13,578,577
True,False,False,False,8,-1,-1,-1,1,14,577,576
True,False,False,False,8,-1,-1,-1,1,15,576,575
True,False,False,False,6,-1,-1,-1,1,16,575,574
True,False,False,False,6,-1,-1,-1,1,17,574,573
True,False,False,False,4,-1,-1,-1,1,18,573,572
True,False,False,False,4,-1,-1,-1,1,19,572,571
True,False,False,False,2,-1,-1,-1,1,20,571,570
True,False,False,False,2,-1,-1,-1,1,21,570,569
True,False,False,False,2,-1,-1,-1,1,20,569,768
True,True,True,True,16,13,12,15,229,1,0,99
True,True,True,True,17,14,14,13,228,1,99,198
True,True,True,True,15,14,13,12,227,1,198,297
True,True,True,True,14,14,12,12,226,1,297,396
True,True,True,True,16,14,12,11,225,1,396,495
True,True,True,True,17,15,14,10,224,1,495,594
True,True,True,True,18,16,16,12,223,1,594,693
True,True,True,True,16,14,14,11,222,1,693,792
True,True,True,True,16,14,12,11,221,1,792,891
True,True,True,True,14,14,12,11,220,1,891,990
True,True,True,True,14,16,13,13,219,1,990,1089
True,True,True,True,14,18,15,15,218,1,1089,1188
True,True,True,True,15,20,15,15,217,1,1188,1287
True,True,True,True,15,20,15,13,216,1,1287,1386
True,True,True,True,13,20,15,13,215,1,1386,1485
True,True,True,True,13,18,13,13,214,1,1485,1584
True,True,True,True,11,17,12,12,213,1,1584,1683
True,True,True,True,10,17,11,12,212,1,1683,1682
True,True,True,True,9,16,9,10,212,2,1682,1681
True,True,True,True,9,14,8,10,212,2,1681,1680
True,True,True,True,7,14,8,9,212,2,1680,1679
True,True,True,True,7,12,8,7,212,2,1679,1678
True,True,True,True,7,12,8,6,212,2,1678,1677
True,True,True,True,8,12,7,6,212,2,1677,1676
True,True,True,True,8,12,7,4,212,3,1676,1675
True,True,True,True,6,12,6,2,212,3,1675,1674
True,True,True,True,4,10,4,2,212,3,1674,1673
True,True,True,True,2,9,4,2,212,3,1673,1872
True,True,True,False,4,9,2,-1,212,4,1872,1871
True,True,True,False,6,8,2,-1,212,4,1871,1870
True,True,True,False,7,8,2,-1,212,3,1870,1869
True,True,True,False,8,8,1,-1,212,3,1869,2068
True,True,False,False,9,7,-1,-1,212,3,2068,2067
True,True,False,False,9,6,-1,-1,212,3,2067,2066
True,True,False,False,11,5,-1,-1,212,2,2066,2065
True,True,False,False,10,3,-1,-1,212,2,2065,2064
True,True,False,False,8,2,-1,-1,212,2,2064,2063
True,True,False,False,10,1,-1,-1,212,1,2063,2362
True,False,False,False,10,-1,-1,-1,211,1,2362,2361
True,False,False,False,10,-1,-1,-1,211,2,2361,2360
True,False,False,False,8,-1,-1,-1,211,3,2360,2359
True,False,False,False,9,-1,-1,-1,211,2,2359,2358
True,False,False,False,9,-1,-1,-1,211,2,2358,2357
True,False,False,False,8,-1,-1,-1,211,3,2357,2356
True,False,False,False,6,-1,-1,-1,211,3,2356,2355
True,False,False,False,5,-1,-1,-1,211,3,2355,2354
True,False,False,False,3,-1,-1,-1,211,3,2354,2353
True,False,False,False,3,-1,-1,-1,211,4,2353,2352
True,False,False,False,2,-1,-1,-1,211,4,2352,2351
True,False,False,False,1,-1,-1,-1,211,5,2351,2550
True,True,True,True,16,13,12,15,229,1,0,99
True,True,True,True,16,13,14,14,228,1,99,198
True,True,True,True,15,13,14,13,227,1,198,297
True,True,True,True,14,13,12,11,226,1,297,396
True,True,True,True,15,13,14,11,225,1,396,495
True,True,True,True,17,15,16,11,224,1,495,594
True,True,True,True,17,15,17,13,223,1,594,693
True,True,True,True,15,13,15,11,222,1,693,792
True,True,True,True,15,13,13,10,221,1,792,891
True,True,True,True,14,13,11,9,220,1,891,990
True,True,True,True,16,14,13,9,219,1,990,1089
True,True,True,True,16,15,14,11,218,1,1089,1188
True,True,True,True,17,15,14,13,217,1,1188,1287
True,True,True,True,17,15,14,12,216,1,1287,1386
True,True,True,True,16,15,14,12,215,1,1386,1485
True,True,True,True,15,14,12,12,214,1,1485,1584
True,True,True,True,13,13,10,12,213,1,1584,1683
True,True,True,True,13,13,10,12,212,1,1683,1682
True,True,True,True,12,13,9,11,212,2,1682,1681
True,True,True,True,10,12,9,10,212,2,1681,1680
True,True,True,True,9,10,7,9,212,2,1680,1679
True,True,True,True,8,8,7,8,212,2,1679,1678
True,True,True,True,10,6,6,6,212,2,1678,1677
True,True,True,True,11,6,6,4,212,2,1677,1676
True,True,True,True,10,6,5,3,212,3,1676,1675
True,True,True,True,8,4,5,2,212,3,1675,1674
True,True,True,True,7,3,4,2,212,3,1674,1673
True,True,True,True,6,3,4,1,212,3,1673,1872
True,True,True,False,6,2,4,-1,212,4,1872,2071
True,False,True,False,4,-1,3,-1,212,5,2071,2070
True,False,True,False,2,-1,2,-1,212,5,2070,2069
True,False,True,False,1,-1,1,-1,212,5,2069,2268
True,True,True,True,14,12,15,21,121,2,0,-1
True,True,True,True,13,11,14,20,121,1,-1,-2
