@relation 'training_tutorial1.arff-weka.filters.unsupervised.attribute.Remove-R1-12,17-28,36-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last'

@attribute ghost1_alive=True numeric
@attribute ghost2_alive=True numeric
@attribute ghost3_alive=True numeric
@attribute ghost4_alive=True numeric
@attribute ghost1_dist numeric
@attribute ghost2_dist numeric
@attribute ghost3_dist numeric
@attribute ghost4_dist numeric
@attribute pacdots_remaining numeric
@attribute nearestpacdot_dist numeric
@attribute currentTickScore numeric
@attribute nextTickScore numeric

@data
1,0,0,0,8,-1,-1,-1,211,3,2360,2359
1,0,0,0,9,-1,-1,-1,211,2,2359,2358
1,0,0,0,9,-1,-1,-1,211,2,2358,2357
1,0,0,0,8,-1,-1,-1,211,3,2357,2356
1,0,0,0,6,-1,-1,-1,211,3,2356,2355
1,0,0,0,5,-1,-1,-1,211,3,2355,2354
1,0,0,0,3,-1,-1,-1,211,3,2354,2353
1,0,0,0,3,-1,-1,-1,211,4,2353,2352
1,0,0,0,2,-1,-1,-1,211,4,2352,2351
1,0,0,0,1,-1,-1,-1,211,5,2351,2550
1,1,1,1,16,13,12,15,229,1,0,99
1,1,1,1,16,13,14,14,228,1,99,198
1,1,1,1,15,13,14,13,227,1,198,297
1,1,1,1,14,13,12,11,226,1,297,396
1,1,1,1,15,13,14,11,225,1,396,495
1,1,1,1,17,15,16,11,224,1,495,594
1,1,1,1,17,15,17,13,223,1,594,693
1,1,1,1,15,13,15,11,222,1,693,792
1,1,1,1,15,13,13,10,221,1,792,891
1,1,1,1,14,13,11,9,220,1,891,990
1,1,1,1,16,14,13,9,219,1,990,1089
1,1,1,1,16,15,14,11,218,1,1089,1188
1,1,1,1,17,15,14,13,217,1,1188,1287
1,1,1,1,17,15,14,12,216,1,1287,1386
1,1,1,1,16,15,14,12,215,1,1386,1485
1,1,1,1,15,14,12,12,214,1,1485,1584
1,1,1,1,13,13,10,12,213,1,1584,1683
1,1,1,1,13,13,10,12,212,1,1683,1682
1,1,1,1,12,13,9,11,212,2,1682,1681
1,1,1,1,10,12,9,10,212,2,1681,1680
1,1,1,1,9,10,7,9,212,2,1680,1679
1,1,1,1,8,8,7,8,212,2,1679,1678
1,1,1,1,10,6,6,6,212,2,1678,1677
1,1,1,1,11,6,6,4,212,2,1677,1676
1,1,1,1,10,6,5,3,212,3,1676,1675
1,1,1,1,8,4,5,2,212,3,1675,1674
1,1,1,1,7,3,4,2,212,3,1674,1673
1,1,1,1,6,3,4,1,212,3,1673,1872
1,1,1,0,6,2,4,-1,212,4,1872,2071
1,0,1,0,4,-1,3,-1,212,5,2071,2070
1,0,1,0,2,-1,2,-1,212,5,2070,2069
1,0,1,0,1,-1,1,-1,212,5,2069,2268
1,1,1,1,14,12,15,21,121,2,0,-1
1,1,1,1,13,11,14,20,121,1,-1,-2
1,1,1,1,12,10,13,19,121,1,-2,97
1,1,1,1,11,9,12,18,120,1,97,196
1,1,1,1,10,8,11,17,119,1,196,295
1,1,1,1,9,7,10,16,118,1,295,394
1,1,1,1,10,6,9,15,117,1,394,393
1,1,1,1,11,5,8,14,117,1,393,492
1,1,1,1,10,4,9,13,116,1,492,591
1,1,1,1,9,3,10,12,115,1,591,590
1,1,1,1,8,2,11,11,115,1,590,689
1,1,1,1,7,1,12,12,114,1,689,888
1,0,1,1,6,-1,13,13,114,1,888,987
1,0,1,1,5,-1,14,14,113,1,987,986
1,0,1,1,4,-1,15,15,113,1,986,1085
1,0,1,1,3,-1,16,16,112,1,1085,1084
1,0,1,1,2,-1,17,17,112,1,1084,1083
1,0,1,1,1,-1,18,18,112,1,1083,1282
0,0,1,1,-1,-1,19,19,112,1,1282,1381
0,0,1,1,-1,-1,18,18,111,1,1381,1380
0,0,1,1,-1,-1,17,17,111,1,1380,1379
0,0,1,1,-1,-1,16,16,111,1,1379,1378
0,0,1,1,-1,-1,15,15,111,2,1378,1377
0,0,1,1,-1,-1,14,14,111,2,1377,1376
0,0,1,1,-1,-1,13,13,111,1,1376,1375
0,0,1,1,-1,-1,12,12,111,1,1375,1474
0,0,1,1,-1,-1,11,11,110,1,1474,1573
0,0,1,1,-1,-1,10,10,109,1,1573,1672
0,0,1,1,-1,-1,9,9,108,1,1672,1671
0,0,1,1,-1,-1,8,8,108,1,1671,1670
0,0,1,1,-1,-1,7,7,108,1,1670,1769
0,0,1,1,-1,-1,6,6,107,1,1769,1768
0,0,1,1,-1,-1,5,5,107,1,1768,1767
0,0,1,1,-1,-1,4,4,107,1,1767,1866
0,0,1,1,-1,-1,3,3,106,1,1866,1865
0,0,1,1,-1,-1,2,4,106,1,1865,1864
0,0,1,1,-1,-1,1,5,106,1,1864,2063
0,0,0,1,-1,-1,-1,6,106,1,2063,2162
0,0,0,1,-1,-1,-1,5,105,1,2162,2161
0,0,0,1,-1,-1,-1,4,105,1,2161,2160
0,0,0,1,-1,-1,-1,3,105,1,2160,2259
0,0,0,1,-1,-1,-1,2,104,1,2259,2358
0,0,0,1,-1,-1,-1,1,103,1,2358,2557
1,1,1,1,16,13,12,15,229,1,0,99
1,1,1,1,17,14,13,13,228,1,99,198
1,1,1,1,16,14,13,11,227,1,198,297
1,1,1,1,15,12,11,11,226,1,297,396
1,1,1,1,15,12,11,11,225,1,396,495
1,1,1,1,17,14,12,10,224,1,495,594
1,1,1,1,18,16,12,11,223,1,594,693
1,1,1,1,16,15,12,10,222,1,693,792
1,1,1,1,16,14,11,9,221,1,792,891
1,1,1,1,14,12,9,9,220,1,891,990
1,1,1,1,14,12,10,11,219,1,990,1089
1,1,1,1,14,13,12,11,218,1,1089,1188
1,1,1,1,15,15,13,13,217,1,1188,1287
1,1,1,1,15,13,13,13,216,1,1287,1386
1,1,1,1,15,13,11,12,215,1,1386,1485
1,1,1,1,15,13,9,12,214,1,1485,1584
1,1,1,1,15,11,8,12,213,1,1584,1683
1,1,1,1,14,11,8,11,212,1,1683,1682
1,1,1,1,14,9,8,9,212,2,1682,1681
1,1,1,1,14,9,8,9,212,2,1681,1680
1,1,1,1,13,7,8,7,212,2,1680,1679
1,1,1,1,11,5,8,6,212,2,1679,1678
1,1,1,1,11,5,6,6,212,2,1678,1677
1,1,1,1,9,5,6,6,212,2,1677,1676
1,1,1,1,8,4,5,6,212,3,1676,1675
1,1,1,1,7,3,5,5,212,3,1675,1674
1,1,1,1,5,1,4,5,212,3,1674,1873
1,0,1,1,3,-1,2,3,212,3,1873,1872
1,0,1,1,3,-1,2,1,212,4,1872,2071
1,0,1,0,3,-1,2,-1,212,5,2071,2070
1,0,1,0,4,-1,2,-1,212,5,2070,2269
1,0,0,0,4,-1,-1,-1,212,4,2269,2268
1,0,0,0,3,-1,-1,-1,212,5,2268,2267
1,0,0,0,3,-1,-1,-1,212,5,2267,2266
1,0,0,0,1,-1,-1,-1,212,5,2266,2465
1,1,1,1,11,9,5,3,1,7,0,-1
1,1,1,1,13,9,5,1,1,6,-1,198
1,1,1,0,13,9,6,-1,1,7,198,197
1,1,1,0,11,7,4,-1,1,8,197,196
1,1,1,0,10,8,4,-1,1,7,196,195
1,1,1,0,10,10,4,-1,1,6,195,194
1,1,1,0,8,10,4,-1,1,5,194,193
1,1,1,0,8,12,2,-1,1,6,193,392
1,1,0,0,8,14,-1,-1,1,7,392,391
1,1,0,0,6,14,-1,-1,1,8,391,390
1,1,0,0,4,12,-1,-1,1,9,390,389
1,1,0,0,3,12,-1,-1,1,10,389,388
1,1,0,0,3,12,-1,-1,1,11,388,387
1,1,0,0,2,12,-1,-1,1,12,387,386
