@relation 'training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R1-3,11,25-28,33-34,37-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.AddExpression-Ea12-a1-Ndiff1_x-weka.filters.unsupervised.attribute.AddExpression-Ea14-a1-Ndiff2_x-weka.filters.unsupervised.attribute.AddExpression-Ea16-a1-Ndiff3_x-weka.filters.unsupervised.attribute.AddExpression-Ea18-a1-Ndiff4_x-weka.filters.unsupervised.attribute.AddExpression-Ea13-a2-Ndiff1_y-weka.filters.unsupervised.attribute.AddExpression-Ea15-a2-Ndiff2_y-weka.filters.unsupervised.attribute.AddExpression-Ea17-a2-Ndiff3_y-weka.filters.unsupervised.attribute.AddExpression-Ea19-a2-Ndiff4_y-weka.filters.unsupervised.attribute.Remove-R12-23-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute pacman_pos_x numeric
@attribute pacman_pos_y numeric
@attribute legal_North {False,True}
@attribute legal_South {False,True}
@attribute legal_East {False,True}
@attribute legal_West {False,True}
@attribute legal_Stop {False,True}
@attribute ghost1_alive {False,True}
@attribute ghost2_alive {False,True}
@attribute ghost3_alive {False,True}
@attribute ghost4_alive {False,True}
@attribute pacman_action {East,North,South,Stop,West,None}
@attribute diff1_x numeric
@attribute diff2_x numeric
@attribute diff3_x numeric
@attribute diff4_x numeric
@attribute diff1_y numeric
@attribute diff2_y numeric
@attribute diff3_y numeric
@attribute diff4_y numeric

@data
0.296296,0.294118,True,True,True,False,True,True,True,True,True,North,0.777778,0.742857,0.571429,0.581395,0.5,0.53125,0.548387,0.586207
0.296296,0.352941,False,True,True,True,True,True,True,True,True,South,0.777778,0.714286,0.547619,0.581395,0.458333,0.5,0.516129,0.517241
0.296296,0.294118,True,True,True,False,True,True,False,False,True,South,0.777778,0.542857,0.428571,0.581395,0.5,0.375,0.387097,0.517241
0.296296,0.235294,True,True,True,True,True,True,False,False,True,East,0.75,0.542857,0.452381,0.581395,0.541667,0.40625,0.419355,0.517241
0.333333,0.235294,True,False,True,True,True,True,False,False,True,East,0.75,0.514286,0.404762,0.55814,0.541667,0.4375,0.419355,0.482759
0.37037,0.235294,False,False,False,True,True,True,False,False,True,Stop,0.722222,0.485714,0.404762,0.534884,0.5,0.40625,0.419355,0.482759
0.37037,0.235294,False,False,False,True,True,True,False,False,True,Stop,0.694444,0.485714,0.428571,0.534884,0.5,0.40625,0.419355,0.517241
0.37037,0.235294,False,False,False,True,True,True,False,False,True,West,0.694444,0.485714,0.428571,0.534884,0.5,0.4375,0.451613,0.551724
0.333333,0.235294,True,False,True,True,True,False,False,False,True,West,0.5,0.514286,0.452381,0.55814,0.333333,0.46875,0.483871,0.517241
0.296296,0.235294,True,True,True,True,True,False,False,False,True,North,0.527778,0.542857,0.47619,0.581395,0.333333,0.5,0.451613,0.517241
0.296296,0.294118,True,True,True,False,True,False,False,False,True,North,0.527778,0.542857,0.47619,0.581395,0.291667,0.4375,0.419355,0.448276
0.296296,0.352941,False,True,True,True,True,False,False,False,True,East,0.527778,0.542857,0.47619,0.581395,0.291667,0.4375,0.419355,0.448276
0.333333,0.352941,False,True,True,True,True,False,False,False,True,East,0.5,0.514286,0.452381,0.55814,0.333333,0.40625,0.419355,0.413793
0.37037,0.352941,False,False,True,True,True,False,False,False,True,East,0.472222,0.485714,0.404762,0.534884,0.333333,0.375,0.419355,0.37931
0.407407,0.352941,False,False,True,True,True,False,False,False,True,East,0.444444,0.457143,0.357143,0.511628,0.291667,0.34375,0.419355,0.413793
0.444444,0.352941,False,True,False,True,True,False,False,False,True,Stop,0.416667,0.457143,0.333333,0.488372,0.333333,0.34375,0.419355,0.37931
0.444444,0.352941,False,True,False,True,True,False,False,False,True,Stop,0.416667,0.457143,0.309524,0.465116,0.291667,0.34375,0.419355,0.37931
0.444444,0.352941,False,True,False,True,True,False,False,False,True,South,0.416667,0.428571,0.333333,0.465116,0.291667,0.34375,0.419355,0.37931
0.444444,0.294118,True,True,False,False,True,False,False,False,True,South,0.416667,0.428571,0.333333,0.465116,0.333333,0.40625,0.451613,0.413793
0.444444,0.235294,True,True,True,False,True,False,False,False,True,East,0.416667,0.428571,0.309524,0.465116,0.416667,0.4375,0.483871,0.448276
0.481481,0.235294,False,False,True,True,True,False,False,False,True,East,0.388889,0.4,0.285714,0.44186,0.375,0.40625,0.483871,0.448276
0.518519,0.235294,True,False,True,True,True,False,False,False,True,East,0.361111,0.4,0.285714,0.395349,0.333333,0.40625,0.483871,0.448276
0.555556,0.235294,False,True,True,True,True,False,False,False,True,East,0.333333,0.371429,0.261905,0.372093,0.375,0.40625,0.483871,0.448276
0.592593,0.235294,False,False,True,True,True,False,False,False,True,East,0.305556,0.371429,0.238095,0.325581,0.333333,0.40625,0.483871,0.448276
0.62963,0.235294,True,True,False,True,True,False,False,False,True,South,0.277778,0.342857,0.190476,0.302326,0.375,0.40625,0.483871,0.482759
0.62963,0.176471,True,True,False,False,True,False,False,False,True,South,0.277778,0.342857,0.190476,0.302326,0.458333,0.4375,0.548387,0.551724
0.62963,0.117647,True,True,False,False,True,False,False,False,True,South,0.277778,0.342857,0.190476,0.302326,0.458333,0.46875,0.612903,0.551724
0.62963,0.058824,True,True,False,False,True,False,False,False,True,South,0.277778,0.342857,0.190476,0.302326,0.541667,0.5,0.645161,0.551724
0.62963,0,True,False,False,True,True,False,False,False,True,Stop,0.277778,0.371429,0.190476,0.302326,0.583333,0.53125,0.677419,0.62069
0.62963,0,True,False,False,True,True,False,False,False,True,West,0.277778,0.371429,0.214286,0.302326,0.583333,0.5625,0.677419,0.586207
0.592593,0,False,False,True,True,True,False,False,False,True,West,0.305556,0.4,0.261905,0.348837,0.583333,0.5625,0.677419,0.586207
0.296296,0,False,False,True,True,True,True,True,True,True,Stop,0.722222,0.742857,0.595238,0.55814,0.666667,0.65625,0.677419,0.793103
