@relation 'training_tutorial1.arff-weka.filters.unsupervised.attribute.Remove-R1-3,11-12,25-28,33-35,37-weka.filters.unsupervised.attribute.AddExpression-Ea12-a1-Ndiff1_x-weka.filters.unsupervised.attribute.AddExpression-Ea14-a1-Ndiff2_x-weka.filters.unsupervised.attribute.AddExpression-Ea16-a1-Ndiff3_x-weka.filters.unsupervised.attribute.AddExpression-Ea18-a1-Ndiff4_x-weka.filters.unsupervised.attribute.AddExpression-Ea13-a2-Ndiff1_y-weka.filters.unsupervised.attribute.AddExpression-Ea15-a2-Ndiff2_y-weka.filters.unsupervised.attribute.AddExpression-Ea17-a2-Ndiff3_y-weka.filters.unsupervised.attribute.AddExpression-Ea19-a2-Ndiff4_y'

@attribute pacman_pos_x numeric
@attribute pacman_pos_y numeric
@attribute legal_North {False,True}
@attribute legal_South {False,True}
@attribute legal_East {False,True}
@attribute legal_West {False,True}
@attribute legal_Stop {False,True}
@attribute ghost1_alive {False,True}
@attribute ghost2_alive {False,True}
@attribute ghost3_alive {False,True}
@attribute ghost4_alive {False,True}
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute ghost1_dist numeric
@attribute ghost2_dist numeric
@attribute ghost3_dist numeric
@attribute ghost4_dist numeric
@attribute pacman_action {East,North,South,Stop,West,None}
@attribute diff1_x numeric
@attribute diff2_x numeric
@attribute diff3_x numeric
@attribute diff4_x numeric
@attribute diff1_y numeric
@attribute diff2_y numeric
@attribute diff3_y numeric
@attribute diff4_y numeric

@data
14,8,True,True,True,True,True,False,False,True,True,1,1,3,1,19,4,27,6,-1,-1,9,14,South,-13,-11,5,13,-7,-7,-4,-2
14,7,True,True,False,True,True,False,False,True,True,1,1,3,1,20,4,26,6,-1,-1,9,13,South,-13,-11,6,12,-6,-6,-3,-1
14,6,True,True,True,True,True,False,False,True,True,1,1,3,1,19,4,26,6,-1,-1,7,11,East,-13,-11,5,12,-5,-5,-2,0
15,6,False,False,True,True,True,False,False,True,True,1,1,3,1,20,4,25,6,-1,-1,7,10,East,-14,-12,5,10,-5,-5,-2,0
16,6,False,False,True,True,True,False,False,True,True,1,1,3,1,19,4,25,6,-1,-1,5,9,East,-15,-13,3,9,-5,-5,-2,0
17,6,False,True,True,True,True,False,False,True,True,1,1,3,1,18,4,25,6,-1,-1,3,7,East,-16,-14,1,8,-5,-5,-2,0
18,6,False,True,True,True,True,False,False,True,True,1,1,3,1,19,4,24,6,-1,-1,3,7,East,-17,-15,1,6,-5,-5,-2,0
19,6,False,True,True,True,True,False,False,True,True,1,1,3,1,18,4,24,5,-1,-1,3,5,West,-18,-16,-1,5,-5,-5,-2,-1
18,6,False,True,True,True,True,False,False,True,True,1,1,3,1,17,4,24,6,-1,-1,3,7,West,-17,-15,-1,6,-5,-5,-2,0
17,6,False,True,True,True,True,False,False,True,True,1,1,3,1,17,5,25,6,-1,-1,1,7,South,-16,-14,0,8,-5,-5,-1,0
17,5,True,True,True,False,True,False,False,False,True,1,1,3,1,5,1,24,6,-1,-1,-1,7,East,-16,-14,-12,7,-4,-4,-4,1
18,5,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,24,5,-1,-1,-1,5,East,-17,-15,-13,6,-4,-4,-4,0
19,5,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,23,5,-1,-1,-1,4,East,-18,-16,-14,4,-4,-4,-4,0
20,5,True,True,False,True,True,False,False,False,True,1,1,3,1,5,1,23,5,-1,-1,-1,4,South,-19,-17,-15,3,-4,-4,-4,0
20,4,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,23,4,-1,-1,-1,2,East,-19,-17,-15,3,-3,-3,-3,0
21,4,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,22,4,-1,-1,-1,2,East,-20,-18,-16,1,-3,-3,-3,0
22,4,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,22,3,-1,-1,-1,1,South,-21,-19,-17,0,-3,-3,-3,-1
9,1,False,False,True,True,True,True,True,True,True,8,5,10,5,11,5,17,7,5,5,6,14,West,-1,1,2,8,4,4,4,6
8,1,True,False,True,True,True,True,True,True,True,9,5,10,5,10,5,17,7,5,6,6,14,North,1,2,2,9,4,4,4,6
8,2,True,True,False,False,True,True,True,True,True,9,5,10,6,10,6,16,7,4,6,6,13,North,1,2,2,8,3,4,4,5
8,3,False,True,True,False,True,True,True,True,True,9,6,10,6,10,7,16,7,4,5,6,12,East,1,2,2,8,3,3,4,4
