@relation 'training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R1-3,11,25-28,33-34,37-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.AddExpression-Ea12-a1-Ndiff1_x-weka.filters.unsupervised.attribute.AddExpression-Ea14-a1-Ndiff2_x-weka.filters.unsupervised.attribute.AddExpression-Ea16-a1-Ndiff3_x-weka.filters.unsupervised.attribute.AddExpression-Ea18-a1-Ndiff4_x-weka.filters.unsupervised.attribute.AddExpression-Ea13-a2-Ndiff1_y-weka.filters.unsupervised.attribute.AddExpression-Ea15-a2-Ndiff2_y-weka.filters.unsupervised.attribute.AddExpression-Ea17-a2-Ndiff3_y-weka.filters.unsupervised.attribute.AddExpression-Ea19-a2-Ndiff4_y-weka.filters.unsupervised.attribute.Remove-R12-23'

@attribute pacman_pos_x numeric
@attribute pacman_pos_y numeric
@attribute legal_North {False,True}
@attribute legal_South {False,True}
@attribute legal_East {False,True}
@attribute legal_West {False,True}
@attribute legal_Stop {False,True}
@attribute ghost1_alive {False,True}
@attribute ghost2_alive {False,True}
@attribute ghost3_alive {False,True}
@attribute ghost4_alive {False,True}
@attribute pacman_action {East,North,South,Stop,West,None}
@attribute diff1_x numeric
@attribute diff2_x numeric
@attribute diff3_x numeric
@attribute diff4_x numeric
@attribute diff1_y numeric
@attribute diff2_y numeric
@attribute diff3_y numeric
@attribute diff4_y numeric

@data
9,5,True,True,True,True,True,False,False,False,True,North,-8,-6,-3,9,-4,-1,-3,-2
9,6,True,True,True,False,True,False,False,False,True,North,-8,-6,-3,9,-5,-3,-4,-4
9,7,False,True,True,True,True,False,False,False,True,East,-8,-6,-3,9,-5,-3,-4,-4
10,7,False,True,True,True,True,False,False,False,True,East,-9,-7,-4,8,-4,-4,-4,-5
11,7,False,False,True,True,True,False,False,False,True,East,-10,-8,-6,7,-4,-5,-4,-6
12,7,False,False,True,True,True,False,False,False,True,East,-11,-9,-8,6,-5,-6,-4,-5
13,7,False,True,False,True,True,False,False,False,True,Stop,-12,-9,-9,5,-4,-6,-4,-6
13,7,False,True,False,True,True,False,False,False,True,Stop,-12,-9,-10,4,-5,-6,-4,-6
13,7,False,True,False,True,True,False,False,False,True,South,-12,-10,-9,4,-5,-6,-4,-6
13,6,True,True,False,False,True,False,False,False,True,South,-12,-10,-9,4,-4,-4,-3,-5
13,5,True,True,True,False,True,False,False,False,True,East,-12,-10,-10,4,-2,-3,-2,-4
14,5,False,False,True,True,True,False,False,False,True,East,-13,-11,-11,3,-3,-4,-2,-4
15,5,True,False,True,True,True,False,False,False,True,East,-14,-11,-11,1,-4,-4,-2,-4
16,5,False,True,True,True,True,False,False,False,True,East,-15,-12,-12,0,-3,-4,-2,-4
17,5,False,False,True,True,True,False,False,False,True,East,-16,-12,-13,-2,-4,-4,-2,-4
18,5,True,True,False,True,True,False,False,False,True,South,-17,-13,-15,-3,-3,-4,-2,-3
18,4,True,True,False,False,True,False,False,False,True,South,-17,-13,-15,-3,-1,-3,0,-1
18,3,True,True,False,False,True,False,False,False,True,South,-17,-13,-15,-3,-1,-2,2,-1
18,2,True,True,False,False,True,False,False,False,True,South,-17,-13,-15,-3,1,-1,3,-1
18,1,True,False,False,True,True,False,False,False,True,Stop,-17,-12,-15,-3,2,0,4,1
18,1,True,False,False,True,True,False,False,False,True,West,-17,-12,-14,-3,2,1,4,0
17,1,False,False,True,True,True,False,False,False,True,West,-16,-11,-12,-1,2,1,4,0
9,1,False,False,True,True,True,True,True,True,True,Stop,-1,1,2,8,4,4,4,6
9,1,False,False,True,True,True,True,True,True,True,Stop,-2,1,1,8,4,5,4,6
9,1,False,False,True,True,True,True,True,True,True,Stop,-2,0,1,7,4,5,5,6
9,1,False,False,True,True,True,True,True,True,True,Stop,-2,0,1,6,4,6,6,6
9,1,False,False,True,True,True,True,True,True,True,Stop,-1,1,1,6,4,6,6,6
9,1,False,False,True,True,True,True,True,True,True,Stop,-2,1,1,6,4,5,5,6
9,1,False,False,True,True,True,True,True,True,True,West,-3,1,1,6,4,6,4,5
8,1,True,False,True,True,True,True,True,True,True,North,-2,3,2,7,5,6,4,5
8,2,True,True,False,False,True,True,True,True,True,North,-2,3,2,7,3,5,3,5
8,3,False,True,True,False,True,True,True,True,True,East,-1,2,1,8,2,4,2,4
9,3,True,False,True,True,True,True,True,True,True,North,-3,2,0,8,2,4,3,4
9,4,True,True,False,False,True,True,True,True,True,North,-4,1,0,7,1,3,2,3
9,5,True,True,True,True,True,True,True,True,True,West,-3,1,1,6,0,1,1,2
8,5,False,False,True,True,True,True,True,True,True,West,-3,1,2,7,0,1,2,1
7,5,False,False,True,True,True,True,True,True,True,West,-2,2,3,8,0,0,1,2
6,5,True,True,True,True,True,True,True,True,True,West,-1,3,4,9,0,0,0,1
5,5,False,False,True,True,True,False,True,True,True,West,-4,4,4,10,-4,-1,0,1
4,5,True,False,True,True,True,False,True,True,True,North,-3,5,4,11,-4,-1,0,1
4,6,True,True,False,False,True,False,True,True,True,North,-3,5,5,11,-5,-2,-1,0
4,7,False,True,False,True,True,False,True,True,True,Stop,-3,5,6,11,-6,-3,-2,-2
4,7,False,True,False,True,True,False,True,True,True,South,-3,5,7,11,-5,-2,-2,-2
4,6,True,True,False,False,True,False,True,True,True,South,-3,4,7,10,-5,-1,-1,-1
4,5,True,False,True,True,True,False,True,True,True,East,-3,4,7,11,-4,0,0,0
5,5,False,False,True,True,True,False,True,True,True,East,-4,2,6,10,-4,0,0,1
6,5,True,True,True,True,True,False,False,True,True,East,-5,-3,4,9,-3,-4,0,0
7,5,False,False,True,True,True,False,False,True,True,East,-6,-4,4,9,-2,-4,0,0
8,5,False,False,True,True,True,False,False,True,True,East,-7,-4,2,7,-3,-4,0,0
9,5,True,True,True,True,True,False,False,False,True,East,-8,-6,-4,7,-3,-4,-4,0
10,5,True,False,True,True,True,False,False,False,True,North,-9,-6,-5,7,-2,-4,-4,0
10,6,True,True,False,True,True,False,False,False,True,North,-9,-6,-4,8,-2,-5,-5,-1
10,7,False,True,True,True,True,False,False,False,True,Stop,-9,-6,-5,8,-3,-6,-6,-1
10,7,False,True,True,True,True,False,False,False,True,East,-9,-5,-6,8,-2,-6,-6,0
11,7,False,False,True,True,True,False,False,False,True,East,-10,-7,-8,6,-3,-6,-6,0
12,7,False,False,True,True,True,False,False,False,True,East,-11,-7,-8,5,-2,-6,-6,0
13,7,False,True,False,True,True,False,False,False,True,Stop,-11,-8,-9,3,-2,-6,-6,0
13,7,False,True,False,True,True,False,False,False,True,Stop,-11,-9,-9,4,-2,-6,-6,0
13,7,False,True,False,True,True,False,False,False,True,South,-12,-10,-10,3,-2,-6,-6,0
13,6,True,True,False,False,True,False,False,False,True,South,-12,-10,-9,3,-2,-5,-5,1
13,5,True,True,True,False,True,False,False,False,True,East,-12,-10,-10,3,-1,-3,-4,2
14,5,False,False,True,True,True,False,False,False,True,East,-13,-11,-11,1,0,-2,-4,2
15,5,True,False,True,True,True,False,False,False,True,North,-14,-12,-11,0,1,-3,-4,1
4,12,False,True,True,True,True,True,True,True,True,Stop,5,7,15,18,-9,-5,0,-3
4,12,False,True,True,True,True,True,True,True,True,Stop,5,7,15,18,-8,-4,0,-3
4,12,False,True,True,True,True,True,True,True,True,Stop,5,7,15,19,-7,-3,-1,-3
