@RELATION training_keyboard.arff

   @ATTRIBUTE ticks NUMERIC
   @ATTRIBUTE screen_dim_x NUMERIC
   @ATTRIBUTE screen_dim_y NUMERIC
   @ATTRIBUTE pacman_pos_x NUMERIC
   @ATTRIBUTE pacman_pos_y NUMERIC
   @ATTRIBUTE legal_North {False, True}
   @ATTRIBUTE legal_South {False, True}
   @ATTRIBUTE legal_East {False, True}
   @ATTRIBUTE legal_West {False, True}
   @ATTRIBUTE legal_Stop {False, True}
   @ATTRIBUTE pacman_dir {East, North, South, Stop, West}
   @ATTRIBUTE ghost_num NUMERIC
   @ATTRIBUTE ghost1_alive {False, True}
   @ATTRIBUTE ghost2_alive {False, True}
   @ATTRIBUTE ghost3_alive {False, True}
   @ATTRIBUTE ghost4_alive {False, True}
   @ATTRIBUTE ghost1_x NUMERIC
   @ATTRIBUTE ghost1_y NUMERIC
   @ATTRIBUTE ghost2_x NUMERIC
   @ATTRIBUTE ghost2_y NUMERIC
   @ATTRIBUTE ghost3_x NUMERIC
   @ATTRIBUTE ghost3_y NUMERIC
   @ATTRIBUTE ghost4_x NUMERIC
   @ATTRIBUTE ghost4_y NUMERIC
   @ATTRIBUTE ghost1_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost2_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost3_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost4_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost1_dist NUMERIC
   @ATTRIBUTE ghost2_dist NUMERIC
   @ATTRIBUTE ghost3_dist NUMERIC
   @ATTRIBUTE ghost4_dist NUMERIC
   @ATTRIBUTE pacdots_remaining NUMERIC
   @ATTRIBUTE nearestpacdot_dist NUMERIC
   @ATTRIBUTE currentTickScore NUMERIC
   @ATTRIBUTE pacman_action {East, North, South, Stop, West, None}
   @ATTRIBUTE nextTickScore NUMERIC

   @data
43, 20, 9, 13, 7, False, True, False, True, True, East, 4, False, False, False, True, 3, 5, 3, 1, 3, 3, 18, 1, East, West, North, North, 12, -1, 14, 10, 51, 1, 2258, South, 2357
44, 20, 9, 13, 6, True, True, False, False, True, South, 4, False, False, False, True, 2, 5, 3, 1, 3, 2, 18, 2, West, West, South, North, 12, -1, 14, 8, 50, 1, 2357, South, 2456
45, 20, 9, 13, 5, True, True, True, False, True, South, 4, False, False, False, True, 2, 5, 3, 1, 3, 2, 18, 3, West, West, South, North, 11, -1, 13, 6, 49, 1, 2456, East, 2555
46, 20, 9, 14, 5, False, False, True, True, True, East, 4, False, False, False, True, 1, 5, 3, 1, 3, 1, 18, 4, West, West, South, North, 13, -1, -1, 5, 48, 1, 2555, East, 2654
47, 20, 9, 15, 5, True, False, True, True, True, East, 4, False, False, False, True, 1, 6, 3, 1, 4, 1, 18, 4, North, West, East, North, 15, -1, -1, 4, 47, 1, 2654, East, 2753
48, 20, 9, 16, 5, False, True, True, True, True, East, 4, False, False, False, True, 1, 5, 3, 2, 4, 1, 18, 4, South, North, East, North, 15, 16, -1, 3, 46, 1, 2753, East, 2852
49, 20, 9, 17, 5, False, False, True, True, True, East, 4, False, False, False, True, 1, 6, 3, 1, 5, 1, 18, 4, North, South, East, South, 17, -1, -1, 3, 45, 1, 2852, East, 2951
50, 20, 9, 18, 5, True, True, False, True, True, East, 4, False, False, False, True, 1, 7, 3, 1, 4, 1, 18, 3, North, South, West, North, 19, -1, -1, 1, 44, 1, 2951, South, 3150
1, 20, 9, 9, 1, False, False, True, True, True, Stop, 4, True, True, True, True, 8, 5, 10, 5, 11, 5, 17, 7, None, None, None, None, 5, 5, 6, 14, 68, 1, 0, Stop, -1
2, 20, 9, 9, 1, False, False, True, True, True, Stop, 4, True, True, True, True, 8, 5, 11, 5, 11, 5, 17, 7, Stop, East, Stop, East, 5, 6, 6, 15, 68, 1, -1, Stop, -2
3, 20, 9, 9, 1, False, False, True, True, True, Stop, 4, True, True, True, True, 8, 5, 10, 5, 11, 5, 18, 7, Stop, West, Stop, South, 5, 5, 6, 14, 68, 1, -2, Stop, -3
4, 20, 9, 9, 1, False, False, True, True, True, Stop, 4, True, True, True, True, 9, 5, 11, 5, 11, 5, 18, 6, East, East, Stop, South, 4, 6, 6, 13, 68, 1, -3, Stop, -4
5, 20, 9, 9, 1, False, False, True, True, True, Stop, 4, True, True, True, True, 9, 4, 11, 5, 11, 5, 18, 5, South, East, Stop, South, 3, 6, 6, 12, 68, 1, -4, Stop, -5
6, 20, 9, 9, 1, False, False, True, True, True, Stop, 4, True, True, True, True, 9, 4, 10, 5, 11, 5, 18, 4, South, West, Stop, North, 3, 5, 6, 13, 68, 1, -5, West, 94
7, 20, 9, 8, 1, True, False, True, True, True, West, 4, True, True, True, True, 9, 4, 9, 5, 11, 5, 18, 5, South, West, Stop, North, 4, 5, 7, 15, 67, 1, 94, North, 93
8, 20, 9, 8, 2, True, True, False, False, True, North, 4, True, True, True, True, 9, 5, 9, 6, 11, 5, 18, 6, North, North, Stop, North, 4, 5, 6, 14, 67, 2, 93, North, 92
9, 20, 9, 8, 3, False, True, True, False, True, North, 4, True, True, True, True, 9, 4, 9, 7, 11, 5, 18, 6, South, North, Stop, North, 2, 5, 5, 13, 67, 2, 92, Stop, 91
10, 20, 9, 8, 3, False, True, True, False, True, North, 4, True, True, True, True, 9, 5, 10, 7, 10, 5, 18, 6, North, East, West, South, 3, 6, 4, 12, 67, 2, 91, East, 90
11, 20, 9, 9, 3, True, False, True, True, True, East, 4, True, True, True, True, 10, 5, 10, 7, 10, 5, 18, 5, East, East, West, North, 3, 5, 3, 12, 67, 3, 90, North, 89
12, 20, 9, 9, 4, True, True, False, False, True, North, 4, True, True, True, True, 10, 5, 10, 6, 10, 6, 18, 6, East, South, North, North, 2, 3, 3, 11, 67, 2, 89, North, 88
13, 20, 9, 9, 5, True, True, True, True, True, North, 4, True, True, True, True, 10, 5, 10, 6, 10, 5, 18, 6, East, South, South, North, 1, 2, 1, 10, 67, 1, 88, North, 187
14, 20, 9, 9, 6, True, True, True, False, True, North, 4, True, True, True, True, 10, 6, 10, 6, 10, 6, 18, 6, North, South, North, South, 1, 1, 1, 10, 66, 1, 187, North, 286
15, 20, 9, 9, 7, False, True, True, True, True, North, 4, True, True, True, True, 10, 6, 9, 6, 9, 6, 18, 5, North, West, West, South, 2, 1, 1, 12, 65, 1, 286, South, 685
16, 20, 9, 9, 6, True, True, True, False, True, South, 4, True, False, False, True, 10, 6, 3, 1, 4, 1, 18, 4, North, Stop, West, South, 1, -1, -1, 12, 65, 1, 685, South, 684
17, 20, 9, 9, 5, True, True, True, True, True, South, 4, True, False, False, True, 9, 6, 3, 1, 5, 1, 18, 3, West, Stop, East, South, 1, -1, -1, 12, 65, 2, 684, East, 683
18, 20, 9, 10, 5, True, False, True, True, True, East, 4, True, False, False, True, 10, 6, 3, 2, 4, 1, 18, 2, East, North, West, South, 1, 10, -1, 11, 65, 1, 683, East, 682
19, 20, 9, 11, 5, False, False, False, True, True, East, 4, True, False, False, True, 10, 5, 3, 1, 5, 1, 18, 2, South, South, East, North, 1, -1, -1, 9, 65, 2, 682, Stop, 681
20, 20, 9, 11, 5, False, False, False, True, True, East, 4, True, False, False, True, 9, 5, 3, 1, 6, 1, 18, 3, West, South, East, North, 2, -1, -1, 8, 65, 2, 681, Stop, 680
21, 20, 9, 11, 5, False, False, False, True, True, East, 4, True, False, False, True, 9, 5, 3, 2, 6, 2, 18, 4, West, North, North, South, 2, 11, 8, 9, 65, 2, 680, West, 879
22, 20, 9, 10, 5, True, False, True, True, True, West, 4, False, False, False, True, 1, 1, 3, 3, 6, 3, 18, 3, Stop, North, North, South, -1, 9, 6, 10, 65, 1, 879, West, 878
23, 20, 9, 9, 5, True, True, True, True, True, West, 4, False, False, False, True, 1, 1, 3, 4, 6, 2, 18, 3, Stop, North, South, South, -1, 7, 6, 12, 65, 2, 878, North, 877
24, 20, 9, 9, 6, True, True, True, False, True, North, 4, False, False, False, True, 1, 1, 3, 3, 6, 2, 18, 2, Stop, South, South, North, -1, 9, 7, 12, 65, 1, 877, North, 876
25, 20, 9, 9, 7, False, True, True, True, True, North, 4, False, False, False, True, 1, 2, 3, 4, 6, 3, 18, 3, North, North, North, South, 13, 9, 7, 14, 65, 1, 876, East, 975
26, 20, 9, 10, 7, False, True, True, True, True, East, 4, False, False, False, True, 1, 3, 3, 3, 6, 3, 18, 2, North, South, North, South, 13, 11, 8, -1, 64, 1, 975, East, 1074
27, 20, 9, 11, 7, False, False, True, True, True, East, 4, False, False, False, True, 1, 3, 3, 2, 5, 3, 18, 1, North, South, West, North, 14, 13, 10, 12, 63, 1, 1074, East, 1173
28, 20, 9, 12, 7, False, False, True, True, True, East, 4, False, False, False, True, 1, 2, 3, 1, 4, 3, 18, 2, South, South, West, South, 16, -1, 12, -1, 62, 1, 1173, East, 1272
29, 20, 9, 13, 7, False, True, False, True, True, East, 4, False, False, False, True, 1, 3, 4, 1, 4, 3, 18, 1, North, East, West, West, 16, -1, 13, -1, 61, 1, 1272, Stop, 1271
30, 20, 9, 13, 7, False, True, False, True, True, East, 4, False, False, False, True, 1, 2, 4, 1, 3, 3, 17, 1, South, East, West, West, 17, -1, 14, -1, 61, 1, 1271, Stop, 1270
31, 20, 9, 13, 7, False, True, False, True, True, East, 4, False, False, False, True, 1, 2, 3, 1, 4, 3, 17, 1, South, West, East, West, 17, -1, 13, -1, 61, 1, 1270, South, 1369
32, 20, 9, 13, 6, True, True, False, False, True, South, 4, False, False, False, True, 1, 2, 3, 2, 4, 3, 17, 1, South, North, East, West, 16, 14, 12, -1, 60, 1, 1369, South, 1468
33, 20, 9, 13, 5, True, True, True, False, True, South, 4, False, False, False, True, 1, 3, 3, 2, 3, 3, 17, 1, North, North, West, West, 14, 13, 12, -1, 59, 1, 1468, East, 1567
34, 20, 9, 14, 5, False, False, True, True, True, East, 4, False, False, False, True, 1, 2, 3, 1, 3, 3, 17, 1, South, South, West, West, 16, -1, 13, -1, 58, 1, 1567, East, 1666
35, 20, 9, 15, 5, True, False, True, True, True, East, 4, False, False, False, True, 1, 1, 4, 1, 4, 3, 16, 1, South, East, East, West, -1, -1, 13, -1, 57, 1, 1666, East, 1765
36, 20, 9, 16, 5, False, True, True, True, True, East, 4, False, False, False, True, 1, 2, 4, 1, 4, 3, 16, 1, North, East, East, West, 18, -1, 14, -1, 56, 1, 1765, East, 1864
37, 20, 9, 17, 5, False, False, True, True, True, East, 4, False, False, False, True, 1, 1, 5, 1, 4, 3, 15, 1, South, East, East, North, -1, -1, 15, 5, 55, 1, 1864, East, 1963
38, 20, 9, 18, 5, True, True, False, True, True, East, 4, False, False, False, True, 1, 2, 5, 1, 3, 3, 15, 2, North, East, West, North, 20, -1, 17, 5, 54, 1, 1963, South, 2062
39, 20, 9, 18, 4, True, True, False, False, True, South, 4, False, False, False, True, 1, 3, 5, 1, 3, 4, 15, 3, North, East, North, South, 18, -1, 15, 5, 53, 1, 2062, South, 2161
40, 20, 9, 18, 3, True, True, False, False, True, South, 4, False, False, False, True, 1, 2, 5, 1, 3, 5, 15, 2, South, East, North, South, 18, -1, 17, -1, 52, 1, 2161, South, 2260
41, 20, 9, 18, 2, True, True, False, False, True, South, 4, False, False, False, True, 1, 3, 5, 1, 3, 5, 15, 1, North, East, North, North, 18, -1, 18, 3, 51, 1, 2260, South, 2359
42, 20, 9, 18, 1, True, False, False, True, True, South, 4, False, False, False, True, 1, 3, 6, 1, 3, 5, 15, 2, North, East, North, South, 19, -1, 19, -1, 50, 1, 2359, Stop, 2358
43, 20, 9, 18, 1, True, False, False, True, True, South, 4, False, False, False, True, 1, 3, 6, 2, 4, 5, 15, 1, North, North, East, East, 19, 13, 18, -1, 50, 1, 2358, West, 2457
44, 20, 9, 17, 1, False, False, True, True, True, West, 4, False, False, False, True, 1, 3, 6, 2, 5, 5, 16, 1, North, North, East, East, 18, 12, 16, -1, 49, 1, 2457, West, 2656
