@relation 'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31'

@attribute ticks numeric
@attribute pacman_pos_x numeric
@attribute pacman_pos_y numeric
@attribute legal_North {False,True}
@attribute legal_South {False,True}
@attribute legal_East {False,True}
@attribute legal_West {False,True}
@attribute ghost4_y numeric
@attribute ghost1_dir {East,North,South,Stop,West,None}
@attribute ghost4_dir {East,North,South,Stop,West,None}
@attribute pacdots_remaining numeric
@attribute nearestpacdot_dist numeric
@attribute score numeric
@attribute pacman_action {East,North,South,Stop,West,None}

@data
48,14,5,True,True,True,True,4,Stop,South,2,5,553,East
49,15,5,False,True,True,True,3,Stop,West,2,6,552,East
50,16,5,False,True,True,True,3,Stop,East,2,7,551,East
51,17,5,False,True,True,True,3,Stop,North,2,8,550,South
1,1,11,False,True,True,False,6,None,None,2,14,0,Stop
2,1,11,False,True,True,False,6,South,North,2,14,-1,East
3,2,11,False,False,True,True,7,North,North,2,13,-2,East
4,3,11,False,False,True,True,8,West,North,2,12,-3,East
5,4,11,False,False,True,True,9,West,North,2,11,-4,East
6,5,11,False,True,True,True,10,East,South,2,10,-5,East
7,6,11,False,True,True,True,9,South,South,2,9,194,East
8,7,11,False,False,True,True,9,West,West,2,8,193,East
9,8,11,False,False,True,True,9,South,West,2,7,192,East
10,9,11,False,False,True,True,9,West,West,2,6,391,East
11,10,11,False,True,True,True,9,North,East,2,5,390,South
12,10,10,True,True,True,False,9,West,West,2,4,389,South
13,10,9,True,True,True,True,9,West,South,2,3,388,East
14,11,9,True,False,True,True,8,West,South,2,4,387,East
15,12,9,False,True,True,True,7,North,South,2,3,386,East
16,13,9,False,True,True,True,7,North,South,2,2,385,South
17,13,8,True,True,True,True,7,North,West,2,3,384,South
18,13,7,True,False,True,True,7,North,Stop,2,4,583,Stop
19,13,7,True,False,True,True,1,North,Stop,2,4,582,West
20,12,7,True,False,True,False,1,South,Stop,2,3,581,Stop
21,12,7,True,False,True,False,1,South,Stop,2,3,580,North
22,12,8,True,True,True,False,1,South,Stop,2,4,579,North
23,12,9,False,True,True,True,1,South,Stop,2,3,578,West
24,11,9,True,False,True,True,1,South,Stop,2,4,577,West
25,10,9,True,True,True,True,1,South,Stop,2,3,576,West
26,9,9,False,True,True,True,1,East,Stop,2,4,575,West
27,8,9,False,True,True,True,1,East,Stop,2,5,574,South
28,8,8,True,True,True,True,1,East,Stop,2,4,573,South
29,8,7,True,True,True,True,1,East,Stop,2,3,572,South
30,8,6,True,True,True,False,1,South,Stop,2,2,571,South
31,8,5,True,True,True,True,1,East,Stop,2,3,570,West
32,7,5,False,True,True,True,1,East,Stop,2,4,569,West
33,6,5,False,True,True,True,1,East,Stop,2,5,568,South
34,6,4,True,True,True,True,1,West,Stop,2,6,567,South
35,6,3,True,False,True,True,1,East,Stop,2,7,566,West
1,1,11,False,True,True,False,6,None,None,2,14,0,Stop
2,1,11,False,True,True,False,6,East,North,2,14,-1,East
3,2,11,False,False,True,True,7,West,East,2,13,-2,East
4,3,11,False,False,True,True,7,East,East,2,12,-3,East
5,4,11,False,False,True,True,7,West,North,2,11,-4,East
6,5,11,False,True,True,True,8,East,South,2,10,-5,East
7,6,11,False,True,True,True,7,West,North,2,9,-6,East
8,7,11,False,False,True,True,8,East,North,2,8,193,East
9,8,11,False,False,True,True,8,South,South,2,7,192,East
10,9,11,False,False,True,True,7,South,South,2,6,191,East
11,10,11,False,True,True,True,7,North,West,2,5,190,South
12,10,10,True,True,True,False,7,West,East,2,4,189,South
13,10,9,True,True,True,True,7,West,North,2,3,188,East
14,11,9,True,False,True,True,8,East,East,2,4,187,East
15,12,9,False,True,True,True,8,West,South,2,3,186,South
16,12,8,True,True,True,False,7,East,North,2,4,185,South
17,12,7,True,False,True,False,8,South,South,2,3,184,East
18,13,7,True,False,True,True,7,North,South,2,4,183,East
19,14,7,True,True,True,True,7,East,East,2,3,182,East
20,15,7,True,False,True,True,7,North,East,2,4,181,East
21,16,7,True,False,True,True,7,West,North,2,5,180,East
22,17,7,True,False,True,True,8,East,North,2,6,179,East
23,18,7,True,True,False,True,8,East,North,2,7,178,North
24,18,8,True,True,False,True,8,East,North,2,6,177,West
25,17,8,True,True,True,True,9,West,Stop,2,5,376,West
26,16,8,True,True,True,True,1,East,Stop,2,4,375,West
27,15,8,True,True,True,True,1,East,Stop,2,3,374,North
28,15,9,False,True,True,True,1,South,Stop,2,2,373,West
29,14,9,True,True,True,True,1,South,Stop,2,1,372,West
30,13,9,False,True,True,True,1,West,Stop,2,2,371,West
31,12,9,False,True,True,True,1,West,Stop,2,3,370,West
32,11,9,True,False,True,True,1,East,Stop,2,4,369,West
33,10,9,True,True,True,True,1,West,Stop,2,3,368,West
34,9,9,False,True,True,True,1,North,Stop,2,4,367,West
35,8,9,False,True,True,True,1,South,Stop,2,5,366,West
36,7,9,False,True,True,True,1,West,Stop,2,6,365,West
37,6,9,True,True,True,True,1,West,Stop,2,7,364,West
38,5,9,True,True,True,True,1,West,Stop,2,8,363,West
39,4,9,False,True,True,True,1,East,Stop,2,9,362,West
40,3,9,False,True,True,True,1,East,Stop,2,10,361,West
41,2,9,False,True,True,True,1,East,Stop,2,11,360,West
42,1,9,True,True,True,False,1,East,Stop,2,12,359,North
43,1,10,True,True,False,False,1,East,Stop,2,13,358,North
44,1,11,False,True,True,False,1,East,Stop,2,14,557,East
45,2,11,False,False,True,True,1,East,Stop,2,13,556,East
46,3,11,False,False,True,True,1,East,Stop,2,12,555,East
47,4,11,False,False,True,True,1,East,Stop,2,11,554,East
48,5,11,False,True,True,True,1,West,Stop,2,10,553,South
49,5,10,True,True,True,False,1,North,Stop,2,9,552,South
50,5,9,True,True,True,True,1,West,Stop,2,8,551,East
51,6,9,True,True,True,True,1,West,Stop,2,7,550,East
52,7,9,False,True,True,True,1,West,Stop,2,6,549,East
53,8,9,False,True,True,True,1,West,Stop,2,5,548,South
54,8,8,True,True,True,True,1,South,Stop,2,4,547,South
55,8,7,True,True,True,True,1,South,Stop,2,3,546,South
56,8,6,True,True,True,False,1,North,Stop,2,2,545,South
57,8,5,True,True,True,True,1,South,Stop,2,3,544,South
58,8,4,True,True,True,True,1,East,Stop,2,4,543,West
59,7,4,True,True,True,True,1,East,Stop,2,5,542,West
60,6,4,True,True,True,True,1,East,Stop,2,6,541,South
61,6,3,True,False,True,True,1,North,Stop,2,7,540,East
62,7,3,True,False,True,True,1,North,Stop,2,6,539,East
63,8,3,True,False,True,True,1,North,Stop,2,5,538,East
64,9,3,True,False,True,True,1,East,Stop,2,4,537,North
65,9,4,True,True,True,True,1,South,Stop,2,3,536,North
