@RELATION training_tutorial1.arff

   @ATTRIBUTE ticks NUMERIC
   @ATTRIBUTE screen_dim_x NUMERIC
   @ATTRIBUTE screen_dim_y NUMERIC
   @ATTRIBUTE pacman_pos_x NUMERIC
   @ATTRIBUTE pacman_pos_y NUMERIC
   @ATTRIBUTE legal_North {False, True}
   @ATTRIBUTE legal_South {False, True}
   @ATTRIBUTE legal_East {False, True}
   @ATTRIBUTE legal_West {False, True}
   @ATTRIBUTE legal_Stop {False, True}
   @ATTRIBUTE pacman_dir {East, North, South, Stop, West}
   @ATTRIBUTE ghost_num NUMERIC
   @ATTRIBUTE ghost1_alive {False, True}
   @ATTRIBUTE ghost2_alive {False, True}
   @ATTRIBUTE ghost3_alive {False, True}
   @ATTRIBUTE ghost4_alive {False, True}
   @ATTRIBUTE ghost1_x NUMERIC
   @ATTRIBUTE ghost1_y NUMERIC
   @ATTRIBUTE ghost2_x NUMERIC
   @ATTRIBUTE ghost2_y NUMERIC
   @ATTRIBUTE ghost3_x NUMERIC
   @ATTRIBUTE ghost3_y NUMERIC
   @ATTRIBUTE ghost4_x NUMERIC
   @ATTRIBUTE ghost4_y NUMERIC
   @ATTRIBUTE ghost1_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost2_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost3_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost4_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost1_dist NUMERIC
   @ATTRIBUTE ghost2_dist NUMERIC
   @ATTRIBUTE ghost3_dist NUMERIC
   @ATTRIBUTE ghost4_dist NUMERIC
   @ATTRIBUTE pacdots_remaining NUMERIC
   @ATTRIBUTE nearestpacdot_dist NUMERIC
   @ATTRIBUTE currentTickScore NUMERIC
   @ATTRIBUTE pacman_action {East, North, South, Stop, West, None}
   @ATTRIBUTE nextTickScore NUMERIC

   @data
34, 25, 14, 15, 8, True, True, True, True, True, North, 4, False, False, False, True, 1, 1, 3, 1, 5, 1, 22, 9, Stop, Stop, Stop, North, -1, -1, -1, 8, 103, 1, 2367, East, 2466
35, 25, 14, 16, 8, True, True, True, True, True, East, 4, False, False, False, True, 1, 1, 3, 1, 5, 1, 22, 9, Stop, Stop, Stop, North, -1, -1, -1, 8, 102, 1, 2466, East, 2565
36, 25, 14, 17, 8, True, True, True, True, True, East, 4, False, False, False, True, 1, 1, 3, 1, 5, 1, 22, 10, Stop, Stop, Stop, North, -1, -1, -1, 8, 101, 1, 2565, East, 2564
37, 25, 14, 18, 8, True, True, True, True, True, East, 4, False, False, False, True, 1, 1, 3, 1, 5, 1, 22, 11, Stop, Stop, Stop, East, -1, -1, -1, 8, 101, 1, 2564, East, 2563
38, 25, 14, 19, 8, True, True, True, True, True, East, 4, False, False, False, True, 1, 1, 3, 1, 5, 1, 23, 11, Stop, Stop, Stop, East, -1, -1, -1, 7, 101, 1, 2563, East, 2662
39, 25, 14, 20, 8, True, True, True, True, True, East, 4, False, False, False, True, 1, 1, 3, 1, 5, 1, 23, 11, Stop, Stop, Stop, North, -1, -1, -1, 7, 100, 1, 2662, East, 2761
40, 25, 14, 21, 8, True, True, True, True, True, East, 4, False, False, False, True, 1, 1, 3, 1, 5, 1, 23, 12, Stop, Stop, Stop, South, -1, -1, -1, 5, 99, 1, 2761, East, 2860
41, 25, 14, 22, 8, True, True, True, True, True, East, 4, False, False, False, True, 1, 1, 3, 1, 5, 1, 23, 11, Stop, Stop, Stop, North, -1, -1, -1, 5, 98, 1, 2860, East, 2859
42, 25, 14, 23, 8, True, True, False, True, True, East, 4, False, False, False, True, 1, 1, 3, 1, 5, 1, 23, 12, Stop, Stop, Stop, South, -1, -1, -1, 3, 98, 2, 2859, North, 2858
43, 25, 14, 23, 9, True, True, False, True, True, North, 4, False, False, False, True, 1, 1, 3, 1, 5, 1, 23, 11, Stop, Stop, Stop, North, -1, -1, -1, 3, 98, 2, 2858, North, 2857
44, 25, 14, 23, 10, True, True, False, True, True, North, 4, False, False, False, True, 1, 1, 3, 1, 5, 1, 23, 12, Stop, Stop, Stop, North, -1, -1, -1, 2, 98, 1, 2857, North, 3056
1, 19, 7, 8, 1, True, False, True, True, True, Stop, 4, True, True, True, True, 1, 1, 1, 5, 10, 5, 17, 1, None, None, None, None, -1, 11, 6, -1, 22, 3, 0, West, -1
2, 19, 7, 7, 1, True, False, True, True, True, West, 4, True, True, True, True, 1, 1, 1, 5, 11, 5, 17, 1, Stop, Stop, East, North, -1, 10, 8, 11, 22, 2, -1, West, -2
3, 19, 7, 6, 1, False, False, True, True, True, West, 4, True, True, True, True, 2, 1, 2, 5, 11, 5, 17, 2, East, East, East, North, -1, 8, 9, 12, 22, 1, -2, West, 97
4, 19, 7, 5, 1, True, False, True, True, True, West, 4, True, True, True, True, 2, 1, 2, 5, 10, 5, 17, 2, East, East, West, North, -1, 7, 9, 13, 21, 1, 97, West, 196
5, 19, 7, 4, 1, False, False, True, True, True, West, 4, True, True, True, True, 1, 1, 3, 5, 10, 5, 17, 2, West, East, West, North, -1, 5, 10, 15, 20, 1, 196, West, 295
6, 19, 7, 3, 1, False, False, True, True, True, West, 4, True, True, True, True, 1, 1, 4, 5, 9, 5, 17, 3, West, East, West, North, -1, 5, 10, 16, 19, 1, 295, West, 594
7, 19, 7, 2, 1, False, False, True, True, True, West, 4, False, True, True, True, 1, 1, 5, 5, 10, 5, 17, 3, Stop, East, East, South, -1, 7, 12, 16, 18, 2, 594, East, 593
8, 19, 7, 3, 1, False, False, True, True, True, East, 4, False, True, True, True, 1, 2, 4, 5, 9, 5, 17, 2, North, West, West, North, 3, 5, 10, 16, 18, 3, 593, East, 592
9, 19, 7, 4, 1, False, False, True, True, True, East, 4, False, True, True, True, 1, 3, 5, 5, 9, 5, 17, 3, North, East, West, South, 5, 5, 9, 14, 18, 2, 592, East, 591
10, 19, 7, 5, 1, True, False, True, True, True, East, 4, False, True, True, True, 1, 3, 5, 4, 8, 5, 17, 2, North, South, West, South, 6, 3, 7, 13, 18, 1, 591, North, 690
11, 19, 7, 5, 2, True, True, False, False, True, North, 4, False, True, True, True, 1, 3, 5, 3, 9, 5, 17, 2, North, South, East, North, 5, 1, 7, 13, 17, 4, 690, North, 889
12, 19, 7, 5, 3, True, True, False, False, True, North, 4, False, False, True, True, 1, 2, 3, 1, 10, 5, 17, 3, South, Stop, East, North, 5, -1, 7, 12, 17, 4, 889, North, 888
13, 19, 7, 5, 4, True, True, False, False, True, North, 4, False, False, True, True, 1, 3, 2, 1, 10, 5, 17, 3, North, West, East, North, 5, -1, 6, 13, 17, 4, 888, North, 887
14, 19, 7, 5, 5, False, True, True, True, True, North, 4, False, False, True, True, 1, 4, 1, 1, 9, 5, 17, 3, North, West, West, North, 5, -1, 4, 14, 17, 3, 887, East, 886
15, 19, 7, 6, 5, False, False, True, True, True, East, 4, False, False, True, True, 1, 4, 2, 1, 10, 5, 17, 3, North, East, East, South, 6, -1, 4, 14, 17, 4, 886, East, 885
16, 19, 7, 7, 5, False, False, True, True, True, East, 4, False, False, True, True, 1, 4, 2, 1, 9, 5, 17, 2, North, East, West, North, 7, -1, 2, 12, 17, 5, 885, East, 884
17, 19, 7, 8, 5, False, False, True, True, True, East, 4, False, False, True, True, 1, 3, 1, 1, 9, 5, 17, 3, South, West, West, North, 9, -1, 1, 11, 17, 6, 884, East, 1083
18, 19, 7, 9, 5, False, False, True, True, True, East, 4, False, False, False, True, 1, 4, 1, 1, 6, 1, 17, 3, North, West, East, North, 9, -1, -1, 10, 17, 5, 1083, East, 1082
19, 19, 7, 10, 5, False, False, True, True, True, East, 4, False, False, False, True, 1, 3, 1, 1, 7, 1, 17, 3, South, West, East, South, 11, -1, -1, 10, 17, 4, 1082, East, 1081
20, 19, 7, 11, 5, False, False, True, True, True, East, 4, False, False, False, True, 1, 4, 2, 1, 6, 1, 17, 2, North, East, West, North, 11, -1, -1, 8, 17, 3, 1081, East, 1080
21, 19, 7, 12, 5, False, True, True, True, True, East, 4, False, False, False, True, 1, 4, 1, 1, 5, 1, 17, 3, North, West, West, North, 12, -1, -1, 6, 17, 2, 1080, East, 1079
22, 19, 7, 13, 5, False, False, True, True, True, East, 4, False, False, False, True, 1, 3, 1, 1, 6, 1, 17, 4, South, West, East, South, 14, -1, -1, 6, 17, 1, 1079, East, 1178
23, 19, 7, 14, 5, False, True, True, True, True, East, 4, False, False, False, True, 1, 3, 1, 1, 7, 1, 17, 3, South, West, East, South, 15, -1, -1, 6, 16, 1, 1178, East, 1277
24, 19, 7, 15, 5, False, False, True, True, True, East, 4, False, False, False, True, 1, 3, 1, 2, 7, 1, 17, 2, South, North, East, South, 16, 17, -1, 5, 15, 1, 1277, East, 1376
