@relation 'textdump.arff-weka.filters.unsupervised.attribute.Remove-R2-3,11-12,25-34'

@attribute ticks numeric
@attribute pacman_pos_x numeric
@attribute pacman_pos_y numeric
@attribute legal_North {False,True}
@attribute legal_South {False,True}
@attribute legal_East {False,True}
@attribute legal_West {False,True}
@attribute legal_Stop {False,True}
@attribute ghost1_alive {False,True}
@attribute ghost2_alive {False,True}
@attribute ghost3_alive {False,True}
@attribute ghost4_alive {False,True}
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute score numeric
@attribute pacman_action {East,North,South,Stop,West,None}

@data
12,9,11,False,False,True,True,True,True,True,False,True,7,3,5,7,5,1,13,3,189,East
13,10,11,False,True,True,True,True,True,True,False,True,7,4,4,7,5,1,14,3,188,South
14,10,10,True,True,True,False,True,True,True,False,True,6,4,4,7,5,1,14,4,187,South
15,10,9,True,True,True,True,True,True,True,False,True,5,4,3,7,5,1,14,4,186,West
16,9,9,False,True,True,True,True,True,True,False,True,5,5,3,7,5,1,15,4,185,West
17,8,9,False,True,True,True,True,True,True,False,True,4,5,3,7,5,1,15,5,184,West
18,7,9,False,True,True,True,True,True,True,False,True,4,4,4,7,5,1,15,4,183,South
19,7,8,True,True,True,True,True,True,True,False,True,5,4,3,7,5,1,14,4,182,South
20,7,7,True,False,True,True,True,True,True,False,True,5,5,4,7,5,1,14,3,181,West
21,6,7,True,False,True,True,True,True,True,False,True,6,5,4,7,5,1,14,4,180,West
22,5,7,True,False,True,True,True,True,True,False,True,7,5,3,7,5,1,13,4,179,West
23,4,7,True,False,True,True,True,True,True,False,True,8,5,3,7,5,1,14,4,178,West
24,3,7,True,False,True,True,True,True,False,False,True,8,6,3,1,5,1,14,5,377,West
25,2,7,True,False,True,True,True,True,False,False,True,9,6,3,1,5,1,14,5,376,West
26,1,7,True,True,True,False,True,True,False,False,True,8,6,3,1,5,1,14,5,375,South
27,1,6,True,True,False,False,True,True,False,False,True,9,6,3,1,5,1,15,5,374,South
28,1,5,True,True,True,False,True,True,False,False,True,8,6,3,1,5,1,16,5,373,East
29,2,5,False,True,True,True,True,True,False,False,True,8,5,3,1,5,1,17,5,372,East
30,3,5,False,True,True,True,True,True,False,False,True,8,4,3,1,5,1,17,5,371,East
31,4,5,False,True,True,True,True,True,False,False,True,8,4,3,1,5,1,17,4,370,East
32,5,5,False,True,True,True,True,True,False,False,True,9,4,3,1,5,1,16,4,369,East
33,6,5,False,True,True,True,True,True,False,False,True,9,3,3,1,5,1,16,3,368,East
34,7,5,False,True,True,True,True,True,False,False,True,10,3,3,1,5,1,15,3,367,East
35,8,5,True,True,True,True,True,True,False,False,True,11,3,3,1,5,1,14,3,366,East
36,9,5,True,True,True,True,True,True,False,False,True,11,3,3,1,5,1,14,4,365,East
37,10,5,True,True,True,True,True,True,False,False,True,11,3,3,1,5,1,13,4,364,South
38,10,4,True,True,True,True,True,True,False,False,True,11,3,3,1,5,1,13,5,363,East
39,11,4,True,True,False,True,True,True,False,False,True,11,3,3,1,5,1,13,5,362,Stop
40,11,4,True,True,False,True,True,False,False,False,True,1,1,3,1,5,1,13,5,561,North
41,11,5,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,12,5,560,Stop
42,11,5,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,12,5,559,Stop
43,11,5,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,13,5,558,East
44,12,5,False,False,True,True,True,False,False,False,True,1,1,3,1,5,1,14,5,557,East
45,13,5,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,15,5,556,East
46,14,5,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,16,5,555,East
47,15,5,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,16,5,554,East
48,16,5,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,16,4,553,East
49,17,5,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,17,4,552,South
1,1,11,False,True,True,False,True,True,True,True,True,6,5,6,9,8,11,14,6,0,Stop
2,1,11,False,True,True,False,True,True,True,True,True,7,5,5,9,7,11,14,6,-1,Stop
3,1,11,False,True,True,False,True,True,True,True,True,7,5,6,9,7,11,14,7,-2,East
4,2,11,False,False,True,True,True,True,True,True,True,6,5,7,9,6,11,15,7,-3,East
5,3,11,False,False,True,True,True,True,True,True,True,7,5,6,9,6,10,16,7,-4,East
6,4,11,False,False,True,True,True,True,True,True,True,8,5,5,9,5,10,15,7,-5,East
7,5,11,False,True,True,True,True,True,True,True,True,9,5,6,9,5,9,15,8,-6,East
8,6,11,False,True,True,True,True,True,True,True,True,9,4,6,10,5,9,15,9,-7,South
9,6,10,True,True,False,True,True,True,False,True,True,9,4,3,1,5,10,15,8,192,South
10,6,9,True,True,True,True,True,True,False,True,True,9,5,3,1,6,10,15,8,191,West
11,5,9,True,True,True,True,True,True,False,True,True,9,5,3,1,5,10,16,8,190,West
12,4,9,False,True,True,True,True,True,False,True,True,9,6,3,1,5,9,16,8,189,West
13,3,9,False,True,True,True,True,True,False,True,True,10,6,3,1,6,9,16,9,188,East
14,4,9,False,True,True,True,True,True,False,True,True,10,6,3,1,6,10,16,9,187,East
15,5,9,True,True,True,True,True,True,False,True,True,10,5,3,1,5,10,16,9,186,East
16,6,9,True,True,True,True,True,True,False,True,True,10,6,3,1,5,10,16,8,185,North
17,6,10,True,True,False,True,True,True,False,True,True,10,6,3,1,5,10,17,8,184,West
18,5,10,True,True,True,False,True,True,False,False,True,10,6,3,1,5,1,17,7,383,Stop
19,5,10,True,True,True,False,True,True,False,False,True,10,5,3,1,5,1,17,8,382,South
20,5,9,True,True,True,True,True,True,False,False,True,11,5,3,1,5,1,17,9,381,South
