@relation 'training_tutorial1.arff-weka.filters.unsupervised.attribute.Remove-R1-12,17-28,36-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute ghost1_alive=True numeric
@attribute ghost2_alive=True numeric
@attribute ghost3_alive=True numeric
@attribute ghost4_alive=True numeric
@attribute ghost1_dist numeric
@attribute ghost2_dist numeric
@attribute ghost3_dist numeric
@attribute ghost4_dist numeric
@attribute pacdots_remaining numeric
@attribute nearestpacdot_dist numeric
@attribute currentTickScore numeric
@attribute nextTickScore numeric

@data
1,1,1,1,0.666667,0.538462,0.482759,0.388889,0.995633,0.090909,0.038961,198
1,1,1,1,0.592593,0.538462,0.448276,0.388889,0.991266,0.090909,0.071104,297
1,1,1,1,0.518519,0.5,0.448276,0.361111,0.9869,0.090909,0.103247,396
1,1,1,1,0.592593,0.576923,0.482759,0.333333,0.982533,0.090909,0.13539,495
1,1,1,1,0.666667,0.576923,0.517241,0.333333,0.978166,0.090909,0.167532,594
1,1,1,1,0.666667,0.576923,0.551724,0.361111,0.973799,0.090909,0.199675,693
1,1,1,1,0.666667,0.576923,0.551724,0.333333,0.969432,0.090909,0.231818,792
1,1,1,1,0.592593,0.576923,0.551724,0.277778,0.965066,0.090909,0.263961,891
1,1,1,1,0.555556,0.5,0.482759,0.25,0.960699,0.090909,0.296104,990
1,1,1,1,0.555556,0.538462,0.482759,0.277778,0.956332,0.090909,0.328247,1089
1,1,1,1,0.555556,0.615385,0.551724,0.333333,0.951965,0.090909,0.36039,1188
1,1,1,1,0.592593,0.653846,0.62069,0.388889,0.947598,0.090909,0.392532,1287
1,1,1,1,0.518519,0.653846,0.62069,0.388889,0.943231,0.090909,0.424675,1386
1,1,1,1,0.481481,0.615385,0.62069,0.388889,0.938865,0.090909,0.456818,1485
1,1,1,1,0.407407,0.538462,0.551724,0.388889,0.934498,0.090909,0.488961,1584
1,1,1,1,0.407407,0.538462,0.551724,0.361111,0.930131,0.090909,0.521104,1683
1,1,1,1,0.407407,0.461538,0.517241,0.361111,0.925764,0.090909,0.553247,1682
1,1,1,1,0.333333,0.384615,0.517241,0.361111,0.925764,0.136364,0.552922,1681
1,1,1,1,0.333333,0.307692,0.517241,0.361111,0.925764,0.136364,0.552597,1680
1,1,1,1,0.259259,0.307692,0.482759,0.333333,0.925764,0.136364,0.552273,1679
1,1,1,1,0.259259,0.307692,0.413793,0.305556,0.925764,0.136364,0.551948,1678
1,1,1,1,0.259259,0.230769,0.37931,0.305556,0.925764,0.136364,0.551623,1677
1,1,1,1,0.222222,0.269231,0.310345,0.25,0.925764,0.136364,0.551299,1676
1,1,1,1,0.148148,0.230769,0.310345,0.194444,0.925764,0.181818,0.550974,1675
1,1,1,1,0.148148,0.153846,0.241379,0.194444,0.925764,0.181818,0.550649,1674
1,1,1,1,0.111111,0.153846,0.241379,0.166667,0.925764,0.181818,0.550325,1873
0,1,1,1,0,0.076923,0.206897,0.138889,0.925764,0.181818,0.614935,2072
0,0,1,1,1,0,0.137931,0.111111,0.925764,0.227273,0.679545,2071
0,0,1,1,0.925926,0,0.068966,0.083333,0.925764,0.227273,0.679221,2270
1,1,1,1,0.555556,0.5,0.551724,0.611111,0.528384,0.136364,0.006818,-1
1,1,1,1,0.481481,0.423077,0.517241,0.583333,0.528384,0.090909,0.006494,-2
1,1,1,1,0.481481,0.384615,0.482759,0.527778,0.528384,0.090909,0.006169,97
1,1,1,1,0.444444,0.384615,0.413793,0.472222,0.524017,0.090909,0.038312,196
1,1,1,1,0.37037,0.346154,0.344828,0.416667,0.519651,0.090909,0.070455,295
1,1,1,1,0.407407,0.269231,0.310345,0.388889,0.515284,0.090909,0.102597,394
1,1,1,1,0.407407,0.269231,0.310345,0.388889,0.510917,0.090909,0.13474,493
1,1,1,1,0.37037,0.269231,0.344828,0.388889,0.50655,0.090909,0.166883,592
1,1,1,1,0.444444,0.269231,0.275862,0.361111,0.502183,0.090909,0.199026,691
1,1,1,1,0.444444,0.269231,0.275862,0.305556,0.497817,0.090909,0.231169,690
1,1,1,1,0.518519,0.269231,0.275862,0.305556,0.497817,0.136364,0.230844,689
1,1,1,1,0.555556,0.269231,0.206897,0.25,0.497817,0.090909,0.230519,788
1,1,1,1,0.592593,0.346154,0.137931,0.194444,0.49345,0.090909,0.262662,887
1,1,1,1,0.592593,0.384615,0.137931,0.138889,0.489083,0.090909,0.294805,986
1,1,1,1,0.666667,0.461538,0.068966,0.083333,0.484716,0.090909,0.326948,1185
1,1,0,1,0.703704,0.5,0,0.083333,0.484716,0.090909,0.391558,1384
1,1,0,0,0.740741,0.538462,0,0,0.484716,0.090909,0.456169,1383
1,1,0,0,0.740741,0.538462,0,0,0.484716,0.090909,0.455844,1382
1,1,0,0,0.703704,0.5,0,0,0.484716,0.090909,0.455519,1381
1,1,0,0,0.666667,0.5,0,0,0.484716,0.090909,0.455195,1380
1,1,0,0,0.592593,0.461538,0,0,0.484716,0.090909,0.45487,1379
1,1,0,0,0.592593,0.461538,0,0,0.484716,0.136364,0.454545,1378
1,1,0,0,0.518519,0.384615,0,0,0.484716,0.136364,0.454221,1377
1,1,0,0,0.518519,0.346154,0,0,0.484716,0.090909,0.453896,1476
1,1,0,0,0.518519,0.307692,0,0,0.480349,0.090909,0.486039,1475
1,1,0,0,0.444444,0.269231,0,0,0.480349,0.090909,0.485714,1574
1,1,0,0,0.37037,0.192308,0,0,0.475983,0.090909,0.517857,1673
1,1,0,0,0.296296,0.192308,0,0,0.471616,0.136364,0.55,1672
1,1,0,0,0.222222,0.115385,0,0,0.471616,0.090909,0.549675,1971
1,0,0,0,0.296296,0,0,0,0.467249,0.090909,0.646753,2070
1,0,0,0,0.296296,0,0,0,0.462882,0.090909,0.678896,2169
1,0,0,0,0.222222,0,0,0,0.458515,0.090909,0.711039,2168
1,0,0,0,0.222222,0,0,0,0.458515,0.090909,0.710714,2167
1,0,0,0,0.185185,0,0,0,0.458515,0.090909,0.71039,2266
1,0,0,0,0.185185,0,0,0,0.454148,0.090909,0.742532,2265
