@relation 'training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R1-12,17-28,36-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last'

@attribute ghost1_alive=True numeric
@attribute ghost2_alive=True numeric
@attribute ghost3_alive=True numeric
@attribute ghost4_alive=True numeric
@attribute ghost1_dist numeric
@attribute ghost2_dist numeric
@attribute ghost3_dist numeric
@attribute ghost4_dist numeric
@attribute pacdots_remaining numeric
@attribute nearestpacdot_dist numeric
@attribute currentTickScore numeric
@attribute nextTickScore numeric

@data
1,1,1,1,9,7,11,18,118,1,290,389
1,1,1,1,8,7,10,16,117,1,389,488
1,1,1,1,7,5,10,16,116,1,488,587
1,1,1,1,7,5,10,15,115,1,587,686
1,1,1,1,6,4,10,13,114,1,686,785
1,1,1,1,6,2,10,13,113,1,785,1084
1,0,1,1,4,-1,12,13,112,1,1084,1183
1,0,1,1,4,-1,12,15,111,1,1183,1282
1,0,1,1,4,-1,13,16,110,1,1282,1381
1,0,1,1,2,-1,13,16,109,1,1381,1480
1,0,1,1,4,-1,13,18,108,2,1480,1479
1,0,1,1,2,-1,13,18,108,1,1479,1578
1,0,1,1,2,-1,15,18,107,1,1578,1777
0,0,1,1,-1,-1,15,16,107,1,1777,1776
0,0,1,1,-1,-1,13,16,107,1,1776,1875
0,0,1,1,-1,-1,13,16,106,1,1875,1974
0,0,1,1,-1,-1,13,14,105,2,1974,1973
0,0,1,1,-1,-1,12,14,105,2,1973,1972
0,0,1,1,-1,-1,11,14,105,1,1972,1971
0,0,1,1,-1,-1,11,14,105,1,1971,1970
0,0,1,1,-1,-1,9,12,105,2,1970,1969
0,0,1,1,-1,-1,9,10,105,2,1969,1968
0,0,1,1,-1,-1,8,8,105,1,1968,1967
0,0,1,1,-1,-1,7,6,105,1,1967,2066
0,0,1,1,-1,-1,7,4,104,1,2066,2165
0,0,1,1,-1,-1,5,2,103,1,2165,2264
0,0,1,1,-1,-1,4,4,102,1,2264,2363
0,0,1,1,-1,-1,4,4,101,1,2363,2462
0,0,1,1,-1,-1,4,4,100,1,2462,2561
0,0,1,1,-1,-1,4,6,99,1,2561,2660
0,0,1,1,-1,-1,2,6,98,1,2660,2959
0,0,0,1,-1,-1,-1,4,97,1,2959,2958
0,0,0,1,-1,-1,-1,3,97,2,2958,2957
0,0,0,1,-1,-1,-1,4,97,2,2957,2956
0,0,0,1,-1,-1,-1,4,97,1,2956,2955
0,0,0,1,-1,-1,-1,2,97,1,2955,2954
0,0,0,1,-1,-1,-1,2,97,1,2954,3053
0,0,0,1,-1,-1,-1,4,96,1,3053,3152
0,0,0,1,-1,-1,-1,6,95,1,3152,3251
0,0,0,1,-1,-1,-1,8,94,1,3251,3350
0,0,0,1,-1,-1,-1,8,93,1,3350,3349
0,0,0,1,-1,-1,-1,7,93,2,3349,3348
0,0,0,1,-1,-1,-1,5,93,1,3348,3447
0,0,0,1,-1,-1,-1,5,92,1,3447,3546
0,0,0,1,-1,-1,-1,5,91,1,3546,3645
0,0,0,1,-1,-1,-1,5,90,1,3645,3744
0,0,0,1,-1,-1,-1,5,89,1,3744,3743
0,0,0,1,-1,-1,-1,4,89,1,3743,3742
0,0,0,1,-1,-1,-1,3,89,1,3742,3841
0,0,0,1,-1,-1,-1,1,88,1,3841,4040
1,1,1,1,13,25,28,35,0,-1,0,-1
1,1,1,1,12,25,28,34,0,-1,-1,-2
1,1,1,1,13,24,27,35,0,-1,-2,-3
1,1,1,1,12,25,28,35,0,-1,-3,-4
1,1,1,1,12,25,28,34,0,-1,-4,-5
1,1,1,1,12,23,28,34,0,-1,-5,-6
1,1,1,1,11,23,28,33,0,-1,-6,-7
1,1,1,1,11,23,30,34,0,-1,-7,-8
1,1,1,1,13,25,32,36,0,-1,-8,-9
1,1,1,1,13,23,30,36,0,-1,-9,-10
1,1,1,1,13,21,30,34,0,-1,-10,-11
1,1,1,1,11,21,28,32,0,-1,-11,-12
1,1,1,1,11,21,26,30,0,-1,-12,-13
1,1,1,1,11,19,24,30,0,-1,-13,-14
1,1,1,1,9,18,22,30,0,-1,-14,-15
1,1,1,1,8,16,21,30,0,-1,-15,-16
1,1,1,1,7,15,20,30,0,-1,-16,-17
1,1,1,1,5,15,18,29,0,-1,-17,-18
1,1,1,1,3,13,18,27,0,-1,-18,-19
1,1,1,1,5,12,18,27,0,-1,-19,-20
1,1,1,1,5,10,17,25,0,-1,-20,-21
1,1,1,1,5,8,15,25,0,-1,-21,-22
1,1,1,1,3,7,15,23,0,-1,-22,-23
1,1,1,1,3,7,14,21,0,-1,-23,-24
1,1,1,1,3,5,14,19,0,-1,-24,-25
1,1,1,1,1,7,14,21,0,-1,-25,-26
1,1,1,1,1,8,15,21,0,-1,-26,-27
1,1,1,1,1,8,16,21,0,-1,-27,172
0,1,1,1,-1,7,15,20,0,-1,172,171
0,1,1,1,-1,7,14,18,0,-1,171,170
0,1,1,1,-1,5,14,17,0,-1,170,169
0,1,1,1,-1,4,14,17,0,-1,169,168
0,1,1,1,-1,3,14,17,0,-1,168,167
0,1,1,1,-1,3,13,15,0,-1,167,166
0,1,1,1,-1,3,13,15,0,-1,166,165
0,1,1,1,-1,3,13,16,0,-1,165,164
0,1,1,1,-1,1,13,18,0,-1,164,163
0,1,1,1,-1,1,13,20,0,-1,163,362
0,0,1,1,-1,-1,14,22,0,-1,362,361
0,0,1,1,-1,-1,14,24,0,-1,361,360
0,0,1,1,-1,-1,16,24,0,-1,360,359
0,0,1,1,-1,-1,15,22,0,-1,359,358
0,0,1,1,-1,-1,13,22,0,-1,358,357
0,0,1,1,-1,-1,12,20,0,-1,357,356
0,0,1,1,-1,-1,14,19,0,-1,356,355
0,0,1,1,-1,-1,16,17,0,-1,355,354
0,0,1,1,-1,-1,16,16,0,-1,354,353
0,0,1,1,-1,-1,16,16,0,-1,353,352
0,0,1,1,-1,-1,18,16,0,-1,352,351
0,0,1,1,-1,-1,19,15,0,-1,351,350
0,0,1,1,-1,-1,20,15,0,-1,350,349
0,0,1,1,-1,-1,21,16,0,-1,349,348
0,0,1,1,-1,-1,23,18,0,-1,348,347
0,0,1,1,-1,-1,23,18,0,-1,347,346
0,0,1,1,-1,-1,21,17,0,-1,346,345
0,0,1,1,-1,-1,21,17,0,-1,345,344
0,0,1,1,-1,-1,19,17,0,-1,344,343
0,0,1,1,-1,-1,19,17,0,-1,343,342
0,0,1,1,-1,-1,17,17,0,-1,342,341
0,0,1,1,-1,-1,15,15,0,-1,341,340
0,0,1,1,-1,-1,13,14,0,-1,340,339
0,0,1,1,-1,-1,13,16,0,-1,339,338
0,0,1,1,-1,-1,13,14,0,-1,338,337
0,0,1,1,-1,-1,13,14,0,-1,337,336
0,0,1,1,-1,-1,14,15,0,-1,336,335
0,0,1,1,-1,-1,13,15,0,-1,335,334
0,0,1,1,-1,-1,14,15,0,-1,334,333
0,0,1,1,-1,-1,12,14,0,-1,333,332
0,0,1,1,-1,-1,11,14,0,-1,332,331
0,0,1,1,-1,-1,9,12,0,-1,331,330
0,0,1,1,-1,-1,9,10,0,-1,330,329
0,0,1,1,-1,-1,8,10,0,-1,329,328
0,0,1,1,-1,-1,7,9,0,-1,328,327
0,0,1,1,-1,-1,5,7,0,-1,327,326
0,0,1,1,-1,-1,4,7,0,-1,326,325
0,0,1,1,-1,-1,3,5,0,-1,325,324
0,0,1,1,-1,-1,3,4,0,-1,324,323
0,0,1,1,-1,-1,3,2,0,-1,323,322
0,0,1,1,-1,-1,1,2,0,-1,322,521
0,0,0,1,-1,-1,-1,4,0,-1,521,520
0,0,0,1,-1,-1,-1,5,0,-1,520,519
0,0,0,1,-1,-1,-1,5,0,-1,519,518
